trip_id,start_time,end_time,headway_secs
"15043902","05:00:00","05:59:00","900"
"15043701","06:00:00","08:39:00","450"
"15043721","08:40:00","14:59:00","600"
"15043760","15:00:00","18:29:00","450"
"15043774","18:30:00","21:59:00","600"
"15043808","22:00:00","25:00:00","900"
"15043837","05:00:00","05:59:00","900"
"15043577","06:00:00","08:39:00","450"
"15043598","08:40:00","14:59:00","600"
"15043636","15:00:00","18:29:00","450"
"15043664","18:30:00","21:59:00","600"
"15043685","22:00:00","25:00:00","900"
