route_num_1,route_num_2,stop_id,pattern_id_1,pattern_id_2
"12","12","1400","20012045","11012041"
"24","124","2220","20024102","21124052"
"24","124","0","20024102","21124051"
"24","124","0","20024101","21124052"
"24","124","0","20024101","21124051"
"19","124","2220","20019026","21124052"
"19","124","2220","20019026","21124051"
"124","124","0","10124040","21124054"
"14","1","3600","10014604","11001035"
"14","1","3600","10014603","11001035"
"31","75","26368","40031045","11075163"
"31","75","26368","40031045","11075157"
"31","75","26368","40031045","11075155"
"31","75","26368","40031044","11075163"
"31","75","26368","40031044","11075155"
"31","75","26368","40031043","11075155"
"32","75","26368","10032119","11075163"
"32","75","26368","10032119","11075157"
"32","75","26368","10032119","11075155"
"31","65","26368","40031045","11065079"
"31","65","26368","40031044","11065079"
"31","65","26368","40031043","11065079"
"32","65","26368","10032119","11065079"
"68","67","0","20068089","11067062"
"68","67","0","20068085","11067062"
"66","67","35295","11066121","20067067"
"66","67","35295","11066114","20067067"
"66","67","35295","11066114","20067065"
"66","67","35295","11066113","20067067"
"66","67","35295","11066113","20067065"
"238","236","72190","20238061","11236059"
"182","182","0","21182008","10182009"
"187","182","61330","10187008","21182008"
"182","182","0","10182009","21182008"
"168","168","0","30168033","41168032"
"164","168","58144","30164022","41168032"
"166","168","0","20166056","41168032"
"166","168","0","20166055","41168032"
"540","540","0","41540529","30540531"
"540","540","0","30540532","41540528"
"221","221","0","10221088","21221090"
"22","22","22264","21022098","10022097"
"22","22","22264","21022098","10022096"
"132","26","30635","10132383","11026060"
"131","26","30635","10131103","11026060"
"131","26","30635","10131101","11026060"
"232","232","0","30232099","41232104"
"232","232","0","30232098","41232105"
"4","13","12880","10004557","11013018"
"3","13","12880","10003559","11013018"
"2","13","3037","10002554","11013018"
"49","7","1085","20049040","21007051"
"49","7","1085","20049040","21007047"
"49","7","1085","20049040","21007046"
"49","7","1085","20049040","21007044"
"49","7","1085","20049030","21007047"
"49","7","1085","20049030","21007046"
"49","7","1085","20049030","21007044"
"107","148","46440","21107015","21148008"
"236","238","74390","20236060","11238060"
"345","348","17010","20345015","11348005"
"345","348","17010","20345010","11348005"
"345","348","17010","20345005","11348005"
"348","348","0","11348005","20348006"
"27","33","1370","10027026","11033054"
"27","33","1370","10027026","11033052"
"168","164","0","30168033","41164020"
"164","164","58144","30164022","41164020"
"187","187","0","21187013","10187010"
"187","187","0","21187013","10187008"
"187","187","0","21187012","10187010"
"187","187","0","21187012","10187008"
"187","187","0","10187010","21187012"
"182","187","60634","10182009","21187013"
"125","125","0","10125038","21125037"
"125","125","0","10125036","21125037"
"124","19","0","10124042","11019023"
"164","183","57459","30164026","21183032"
"153","183","0","21153016","21183033"
"153","183","0","21153016","21183032"
"47","47","1085","20047008","11047005"
"348","346","38962","20348006","11346009"
"347","346","38962","20347011","11346009"
"192","601","0","10192049","20601006"
"179","601","675","10179035","20601006"
"158","601","675","10158015","20601006"
"143","601","0","10143054","20601006"
"118","118","0","21118342","10118362"
"118","118","0","21118335","10118347"
"118","118","0","10118346","21118349"
"49","49","0","11049029","20049030"
"7","49","3600","10007045","11049035"
"7","49","3600","10007009","11049043"
"7","49","3600","10007009","11049042"
"7","49","3600","10007009","11049035"
"7","49","3600","10007009","11049032"
"7","49","3600","10007009","11049029"
"11","11","0","20011052","11011051"
"3","4","2220","21003570","21004565"
"3","4","2220","21003567","21004585"
"13","4","2220","20013020","21004565"
"3","4","12880","10003573","10004560"
"3","4","12880","10003559","10004560"
"3","4","12880","10003559","10004559"
"3","4","12880","10003557","10004560"
"123","121","190","10123016","21121092"
"122","121","190","10122018","21121092"
"121","121","190","10121087","21121092"
"84","84","12480","11084025","20084022"
"84","84","12480","11084024","20084023"
"4","2","2220","21004568","21002559"
"13","2","2220","20013020","21002559"
"186","186","0","41186009","30186011"
"4","36","2220","21004568","21036365"
"30","30","0","20030023","11030022"
"30","30","0","20030023","11030020"
"30","30","0","11030020","20030021"
"33","27","2220","20033057","21027027"
"33","27","0","20033056","21027027"
"345","331","6940","11345014","41331023"
"345","331","0","11345006","41331025"
"674","674","0","11674024","20674020"
"673","674","0","10673012","11674024"
"673","674","0","10673012","11674023"
"331","345","6940","30331020","20345015"
"331","345","5489","30331015","20345005"
"331","345","5489","30331014","20345005"
"348","345","38962","20348006","11345014"
"348","345","38962","20348006","11345006"
"5","21","7430","20005154","21021377"
"5","21","7430","20005154","21021375"
"5","21","7430","20005154","21021374"
"120","120","0","10120056","21120057"
"148","107","46468","10148007","10107014"
"67","68","0","20067069","11068087"
"67","68","0","20067069","11068084"
"67","68","0","20067067","11068087"
"67","68","0","20067067","11068084"
"67","68","0","20067067","11068081"
"330","330","0","40330006","31330005"
"5","5","0","11005153","20005154"
"21","5","30635","10021376","11005153"
"21","5","0","10021372","11005153"
"226","241","0","31226435","20241003"
"226","241","0","31226433","20241005"
"226","241","0","31226433","20241004"
"226","241","0","31226433","20241003"
"226","241","0","31226432","20241005"
"226","241","0","31226432","20241004"
"226","241","0","31226432","20241003"
"10","10","0","20010023","11010027"
"75","32","9976","20075166","21032115"
"75","32","9976","20075160","21032115"
"75","32","9976","20075156","21032115"
"65","32","10005","20065082","21032121"
"65","32","10005","20065082","21032115"
"180","180","0","21180095","10180086"
"150","180","0","21150190","21180090"
"150","180","0","21150186","21180095"
"150","180","0","21150186","21180090"
"301","301","0","11301131","20301139"
"301","301","0","11301130","20301139"
"301","301","0","11301125","20301137"
"67","66","35295","11067062","20066118"
"67","66","35295","11067061","20066118"
"124","24","0","10124042","11024099"
"124","24","0","10124042","11024097"
"28","132","0","20028522","21132380"
"26","132","0","20026063","21132380"
"132","28","30635","10132383","11028533"
"132","28","30635","10132383","11028519"
"131","28","30635","10131103","11028519"
"183","153","0","10183030","10153018"
"166","169","57452","20166054","11169019"
"166","169","57452","20166053","11169019"
"4","3","2220","21004568","21003575"
"4","3","2220","21004568","21003566"
"4","3","2220","21004568","21003564"
"4","3","2220","21004567","21003564"
"3","3","2220","21003567","21003575"
"2","3","2220","21002561","21003564"
"13","3","2220","20013020","21003564"
"4","3","12880","10004580","10003558"
"75","31","9976","20075166","31031046"
"75","31","9976","20075156","31031046"
"65","31","10005","20065082","31031046"
"28","131","0","20028522","21131100"
"26","131","0","20026063","21131102"
"26","131","0","20026063","21131100"
"105","105","0","11105009","20105010"
"241","226","0","11241002","40226437"
"241","226","0","11241002","40226434"
"241","226","0","11241002","40226431"
"241","226","0","11241002","40226429"
"241","226","0","11241001","40226434"
"241","226","0","11241001","40226431"
"241","226","0","11241001","40226430"
"241","226","0","11241001","40226429"
"674","673","0","20674021","21673015"
"901","901","0","10901006","21901005"
"99","99","2199","11099011","20099013"
"99","99","2199","11099011","20099012"
"168","166","57457","30168034","11166052"
"168","166","57457","30168034","11166051"
"169","166","57457","20169021","11166052"
