stop_id,stop_name,stop_lat,stop_lon,route_short_name,route_id,stop_sequence,route_color,route_text_color
1170,Southdale Transit Ctr & JC Penney,  44.881569, -93.323097,538,538-55,1
51438,Southdale Exit & York Av,  44.879917, -93.321449,538,538-55,2
48182,York Av S & 69 St W,  44.877934, -93.321381,538,538-55,3
1925,York Av S & Hazelton Rd,  44.874290, -93.321411,538,538-55,4
1926,York Av S & #7240 - York Plaza,  44.872219, -93.321800,538,538-55,5
2203,York Av S & #7240 - Exit,  44.871277, -93.321503,538,538-55,6
1928,York Av S & #7330 - Edina Place,  44.870090, -93.321472,538,538-55,7
20195,York Av S & #7400 - Walker Apts,  44.869198, -93.321480,538,538-55,8
1930,York Av S & Parklawn Av,  44.868057, -93.321487,538,538-55,9
1932,76 St W & York Av S,  44.865406, -93.320938,538,538-55,10
1933,76 St W & Washburn Av S,  44.865475, -93.317673,538,538-55,11
1935,76 St W & Upton Av S,  44.865479, -93.315109,538,538-55,12
1937,76 St W & Sheridan Av S,  44.865475, -93.312569,538,538-55,13
40415,76 St W & Sheridan / Penn,  44.865501, -93.310699,538,538-55,14
51182,Best Buy Headqtrs & 76 St-Main En,  44.864632, -93.306320,538,538-55,15
51790,76 St W & Newton / Oliver,  44.865627, -93.306786,538,538-55,16
2043,Penn Av S & 76 St W,  44.864872, -93.308815,538,538-55,17
1053,Penn Av S & Hwy 494,  44.860733, -93.308968,538,538-55,18
1056,American Blvd & Penn Av S,  44.858734, -93.308395,538,538-55,19
41215,American Blvd & Morgan Circle,  44.858490, -93.304977,538,538-55,20
1054,American Blvd & Knox Av S,  44.858669, -93.302002,538,538-55,21
51974,Knox Av S & #8100,  44.855907, -93.302536,538,538-55,22
51975,82 St W & James Av S,  44.855141, -93.301270,538,538-55,23
42083,82 St W & Fremont Av S,  44.855133, -93.296181,538,538-55,24
42084,82 St W & Emerson Av S,  44.855125, -93.294907,538,538-55,25
42086,82 St W & Colfax Av S,  44.855122, -93.292381,538,538-55,26
42088,82 St W & Aldrich Av S,  44.855114, -93.289871,538,538-55,27
3427,Lyndale Av S & 83 St W,  44.853737, -93.288620,538,538-55,28
52498,Garfield Av S & Cub Foods,  44.851433, -93.287498,538,538-55,29
43694,Garfield Av S & 86 St W,  44.848038, -93.287468,538,538-55,30
43695,86 St W & Harriet Av S,  44.847893, -93.286140,538,538-55,31
43696,86 St W & Pillsbury Av S,  44.847893, -93.282341,538,538-55,32
43697,86 St W & Wentworth Av S,  44.847893, -93.281059,538,538-55,33
43698,86 St W & Blaisdell Av S,  44.847897, -93.279800,538,538-55,34
51993,86 St E & Nicollet / 1 Av S,  44.847900, -93.277794,538,538-55,35
51977,86 St E & Stevens / 2 Av,  44.847893, -93.275276,538,538-55,36
51978,86 St E & Clinton Av S,  44.847881, -93.272209,538,538-55,37
51979,86 St E & 4 Av / 5 Av,  44.847893, -93.270172,538,538-55,38
51980,86 St E & Portland / Oakland,  44.847893, -93.267639,538,538-55,39
51981,86 St E & Park / Columbus,  44.847900, -93.265152,538,538-55,40
51982,86 St E & Chicago / Elliott,  44.847900, -93.262596,538,538-55,41
51983,86 St E & 10 Av / 11 Av,  44.847885, -93.260017,538,538-55,42
51984,86 St E & 12 Av / 13 Av S,  44.847893, -93.257454,538,538-55,43
51985,86 St E & 15 Av S,  44.847912, -93.254333,538,538-55,44
51986,86 St E & 16 Av / 17 Av S,  44.847904, -93.251106,538,538-55,45
51637,86 St E & Old Cedar Av S,  44.847923, -93.246254,538,538-55,46
43728,86 St E & Village Park Apts,  44.847919, -93.244370,538,538-55,47
