route_id,service_id,trip_id
538-55,DEC11-Multi-Weekday-01,4540095-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540096-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540097-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540098-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540099-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540100-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540101-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540102-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540103-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540104-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540105-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540106-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540107-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540108-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540109-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540110-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540111-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540112-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540113-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540114-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540115-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540116-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540117-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540118-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540119-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540120-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540121-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540122-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540123-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540124-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540125-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540126-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540127-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540128-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540129-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540130-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540131-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540132-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540133-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540134-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540135-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540136-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540137-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540138-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540139-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540140-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540141-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540142-DEC11-Multi-Weekday-01
538-55,DEC11-Multi-Weekday-01,4540143-DEC11-Multi-Weekday-01
780-55,DEC11-Multi-Weekday-01,4540144-DEC11-Multi-Weekday-01
780-55,DEC11-Multi-Weekday-01,4540145-DEC11-Multi-Weekday-01
780-55,DEC11-Multi-Weekday-01,4540146-DEC11-Multi-Weekday-01
780-55,DEC11-Multi-Weekday-01,4540147-DEC11-Multi-Weekday-01
780-55,DEC11-Multi-Weekday-01,4540148-DEC11-Multi-Weekday-01
780-55,DEC11-Multi-Weekday-01,4540153-DEC11-Multi-Weekday-01
780-55,DEC11-Multi-Weekday-01,4540154-DEC11-Multi-Weekday-01
780-55,DEC11-Multi-Weekday-01,4540155-DEC11-Multi-Weekday-01
831-55,DEC11-Multi-Weekday-01,4540157-DEC11-Multi-Weekday-01
831-55,DEC11-Multi-Weekday-01,4540158-DEC11-Multi-Weekday-01
831-55,DEC11-Multi-Weekday-01,4540159-DEC11-Multi-Weekday-01
831-55,DEC11-Multi-Weekday-01,4540160-DEC11-Multi-Weekday-01
831-55,DEC11-Multi-Weekday-01,4540161-DEC11-Multi-Weekday-01
831-55,DEC11-Multi-Weekday-01,4540162-DEC11-Multi-Weekday-01
831-55,DEC11-Multi-Weekday-01,4540163-DEC11-Multi-Weekday-01
831-55,DEC11-Multi-Weekday-01,4540164-DEC11-Multi-Weekday-01
831-55,DEC11-Multi-Weekday-01,4540165-DEC11-Multi-Weekday-01
831-55,DEC11-Multi-Weekday-01,4540166-DEC11-Multi-Weekday-01
831-55,DEC11-Multi-Weekday-01,4540167-DEC11-Multi-Weekday-01
831-55,DEC11-Multi-Weekday-01,4540168-DEC11-Multi-Weekday-01
831-55,DEC11-Multi-Weekday-01,4540169-DEC11-Multi-Weekday-01
831-55,DEC11-Multi-Weekday-01,4540170-DEC11-Multi-Weekday-01
831-55,DEC11-Multi-Weekday-01,4540171-DEC11-Multi-Weekday-01
831-55,DEC11-Multi-Weekday-01,4540172-DEC11-Multi-Weekday-01
831-55,DEC11-Multi-Weekday-01,4540173-DEC11-Multi-Weekday-01
831-55,DEC11-Multi-Weekday-01,4540174-DEC11-Multi-Weekday-01
831-55,DEC11-Multi-Weekday-01,4540175-DEC11-Multi-Weekday-01
831-55,DEC11-Multi-Weekday-01,4540176-DEC11-Multi-Weekday-01
831-55,DEC11-Multi-Weekday-01,4540177-DEC11-Multi-Weekday-01
831-55,DEC11-Multi-Weekday-01,4540178-DEC11-Multi-Weekday-01
831-55,DEC11-Multi-Weekday-01,4540179-DEC11-Multi-Weekday-01
831-55,DEC11-Multi-Weekday-01,4540180-DEC11-Multi-Weekday-01
831-55,DEC11-Multi-Weekday-01,4540181-DEC11-Multi-Weekday-01
741-55,DEC11-Multi-Weekday-01,4540182-DEC11-Multi-Weekday-01
741-55,DEC11-Multi-Weekday-01,4540183-DEC11-Multi-Weekday-01
741-55,DEC11-Multi-Weekday-01,4540184-DEC11-Multi-Weekday-01
741-55,DEC11-Multi-Weekday-01,4540185-DEC11-Multi-Weekday-01
741-55,DEC11-Multi-Weekday-01,4540186-DEC11-Multi-Weekday-01
741-55,DEC11-Multi-Weekday-01,4540187-DEC11-Multi-Weekday-01
741-55,DEC11-Multi-Weekday-01,4540188-DEC11-Multi-Weekday-01
741-55,DEC11-Multi-Weekday-01,4540189-DEC11-Multi-Weekday-01
740-55,DEC11-Multi-Weekday-01,4540190-DEC11-Multi-Weekday-01
740-55,DEC11-Multi-Weekday-01,4540191-DEC11-Multi-Weekday-01
740-55,DEC11-Multi-Weekday-01,4540192-DEC11-Multi-Weekday-01
740-55,DEC11-Multi-Weekday-01,4540193-DEC11-Multi-Weekday-01
740-55,DEC11-Multi-Weekday-01,4540194-DEC11-Multi-Weekday-01
740-55,DEC11-Multi-Weekday-01,4540195-DEC11-Multi-Weekday-01
740-55,DEC11-Multi-Weekday-01,4540196-DEC11-Multi-Weekday-01
740-55,DEC11-Multi-Weekday-01,4540197-DEC11-Multi-Weekday-01
740-55,DEC11-Multi-Weekday-01,4540198-DEC11-Multi-Weekday-01
663-55,DEC11-Multi-Weekday-01,4540199-DEC11-Multi-Weekday-01
663-55,DEC11-Multi-Weekday-01,4540200-DEC11-Multi-Weekday-01
663-55,DEC11-Multi-Weekday-01,4540201-DEC11-Multi-Weekday-01
663-55,DEC11-Multi-Weekday-01,4540202-DEC11-Multi-Weekday-01
663-55,DEC11-Multi-Weekday-01,4540203-DEC11-Multi-Weekday-01
663-55,DEC11-Multi-Weekday-01,4540204-DEC11-Multi-Weekday-01
663-55,DEC11-Multi-Weekday-01,4540205-DEC11-Multi-Weekday-01
663-55,DEC11-Multi-Weekday-01,4540206-DEC11-Multi-Weekday-01
663-55,DEC11-Multi-Weekday-01,4540207-DEC11-Multi-Weekday-01
663-55,DEC11-Multi-Weekday-01,4540208-DEC11-Multi-Weekday-01
663-55,DEC11-Multi-Weekday-01,4540209-DEC11-Multi-Weekday-01
663-55,DEC11-Multi-Weekday-01,4540210-DEC11-Multi-Weekday-01
663-55,DEC11-Multi-Weekday-01,4540211-DEC11-Multi-Weekday-01
663-55,DEC11-Multi-Weekday-01,4540212-DEC11-Multi-Weekday-01
663-55,DEC11-Multi-Weekday-01,4540213-DEC11-Multi-Weekday-01
663-55,DEC11-Multi-Weekday-01,4540214-DEC11-Multi-Weekday-01
643-55,DEC11-Multi-Weekday-01,4540215-DEC11-Multi-Weekday-01
643-55,DEC11-Multi-Weekday-01,4540216-DEC11-Multi-Weekday-01
643-55,DEC11-Multi-Weekday-01,4540217-DEC11-Multi-Weekday-01
643-55,DEC11-Multi-Weekday-01,4540218-DEC11-Multi-Weekday-01
643-55,DEC11-Multi-Weekday-01,4540219-DEC11-Multi-Weekday-01
643-55,DEC11-Multi-Weekday-01,4540220-DEC11-Multi-Weekday-01
643-55,DEC11-Multi-Weekday-01,4540221-DEC11-Multi-Weekday-01
643-55,DEC11-Multi-Weekday-01,4540222-DEC11-Multi-Weekday-01
643-55,DEC11-Multi-Weekday-01,4540223-DEC11-Multi-Weekday-01
643-55,DEC11-Multi-Weekday-01,4540224-DEC11-Multi-Weekday-01
649-55,DEC11-Multi-Weekday-01,4540225-DEC11-Multi-Weekday-01
649-55,DEC11-Multi-Weekday-01,4540226-DEC11-Multi-Weekday-01
649-55,DEC11-Multi-Weekday-01,4540227-DEC11-Multi-Weekday-01
649-55,DEC11-Multi-Weekday-01,4540228-DEC11-Multi-Weekday-01
649-55,DEC11-Multi-Weekday-01,4540229-DEC11-Multi-Weekday-01
649-55,DEC11-Multi-Weekday-01,4540230-DEC11-Multi-Weekday-01
649-55,DEC11-Multi-Weekday-01,4540231-DEC11-Multi-Weekday-01
649-55,DEC11-Multi-Weekday-01,4540232-DEC11-Multi-Weekday-01
649-55,DEC11-Multi-Weekday-01,4540233-DEC11-Multi-Weekday-01
649-55,DEC11-Multi-Weekday-01,4540234-DEC11-Multi-Weekday-01
649-55,DEC11-Multi-Weekday-01,4540235-DEC11-Multi-Weekday-01
649-55,DEC11-Multi-Weekday-01,4540236-DEC11-Multi-Weekday-01
649-55,DEC11-Multi-Weekday-01,4540237-DEC11-Multi-Weekday-01
649-55,DEC11-Multi-Weekday-01,4540238-DEC11-Multi-Weekday-01
649-55,DEC11-Multi-Weekday-01,4540239-DEC11-Multi-Weekday-01
649-55,DEC11-Multi-Weekday-01,4540240-DEC11-Multi-Weekday-01
649-55,DEC11-Multi-Weekday-01,4540241-DEC11-Multi-Weekday-01
649-55,DEC11-Multi-Weekday-01,4540242-DEC11-Multi-Weekday-01
649-55,DEC11-Multi-Weekday-01,4540243-DEC11-Multi-Weekday-01
604-55,DEC11-Multi-Weekday-01,4540244-DEC11-Multi-Weekday-01
604-55,DEC11-Multi-Weekday-01,4540245-DEC11-Multi-Weekday-01
604-55,DEC11-Multi-Weekday-01,4540246-DEC11-Multi-Weekday-01
604-55,DEC11-Multi-Weekday-01,4540247-DEC11-Multi-Weekday-01
604-55,DEC11-Multi-Weekday-01,4540248-DEC11-Multi-Weekday-01
604-55,DEC11-Multi-Weekday-01,4540249-DEC11-Multi-Weekday-01
604-55,DEC11-Multi-Weekday-01,4540250-DEC11-Multi-Weekday-01
604-55,DEC11-Multi-Weekday-01,4540251-DEC11-Multi-Weekday-01
604-55,DEC11-Multi-Weekday-01,4540252-DEC11-Multi-Weekday-01
604-55,DEC11-Multi-Weekday-01,4540253-DEC11-Multi-Weekday-01
604-55,DEC11-Multi-Weekday-01,4540254-DEC11-Multi-Weekday-01
604-55,DEC11-Multi-Weekday-01,4540255-DEC11-Multi-Weekday-01
604-55,DEC11-Multi-Weekday-01,4540256-DEC11-Multi-Weekday-01
604-55,DEC11-Multi-Weekday-01,4540257-DEC11-Multi-Weekday-01
604-55,DEC11-Multi-Weekday-01,4540258-DEC11-Multi-Weekday-01
604-55,DEC11-Multi-Weekday-01,4540259-DEC11-Multi-Weekday-01
604-55,DEC11-Multi-Weekday-01,4540260-DEC11-Multi-Weekday-01
604-55,DEC11-Multi-Weekday-01,4540261-DEC11-Multi-Weekday-01
604-55,DEC11-Multi-Weekday-01,4540262-DEC11-Multi-Weekday-01
604-55,DEC11-Multi-Weekday-01,4540263-DEC11-Multi-Weekday-01
87-55,DEC11-Multi-Weekday-01,4540264-DEC11-Multi-Weekday-01
87-55,DEC11-Multi-Weekday-01,4540265-DEC11-Multi-Weekday-01
87-55,DEC11-Multi-Weekday-01,4540266-DEC11-Multi-Weekday-01
87-55,DEC11-Multi-Weekday-01,4540267-DEC11-Multi-Weekday-01
87-55,DEC11-Multi-Weekday-01,4540268-DEC11-Multi-Weekday-01
87-55,DEC11-Multi-Weekday-01,4540269-DEC11-Multi-Weekday-01
87-55,DEC11-Multi-Weekday-01,4540270-DEC11-Multi-Weekday-01
87-55,DEC11-Multi-Weekday-01,4540271-DEC11-Multi-Weekday-01
87-55,DEC11-Multi-Weekday-01,4540272-DEC11-Multi-Weekday-01
87-55,DEC11-Multi-Weekday-01,4540273-DEC11-Multi-Weekday-01
87-55,DEC11-Multi-Weekday-01,4540274-DEC11-Multi-Weekday-01
87-55,DEC11-Multi-Weekday-01,4540275-DEC11-Multi-Weekday-01
87-55,DEC11-Multi-Weekday-01,4540276-DEC11-Multi-Weekday-01
87-55,DEC11-Multi-Weekday-01,4540277-DEC11-Multi-Weekday-01
87-55,DEC11-Multi-Weekday-01,4540278-DEC11-Multi-Weekday-01
87-55,DEC11-Multi-Weekday-01,4540279-DEC11-Multi-Weekday-01
87-55,DEC11-Multi-Weekday-01,4540280-DEC11-Multi-Weekday-01
87-55,DEC11-Multi-Weekday-01,4540281-DEC11-Multi-Weekday-01
87-55,DEC11-Multi-Weekday-01,4540282-DEC11-Multi-Weekday-01
87-55,DEC11-Multi-Weekday-01,4540283-DEC11-Multi-Weekday-01
87-55,DEC11-Multi-Weekday-01,4540284-DEC11-Multi-Weekday-01
87-55,DEC11-Multi-Weekday-01,4540285-DEC11-Multi-Weekday-01
87-55,DEC11-Multi-Weekday-01,4540286-DEC11-Multi-Weekday-01
87-55,DEC11-Multi-Weekday-01,4540287-DEC11-Multi-Weekday-01
