stop_id,stop_name,stop_lat,stop_lon,route_short_name,route_id,route_color,route_text_color,stop_sequence
1721,13th St & Market St ,39.952681,-75.161235,124,11219,,,1
17842,JFK Blvd & 15th St,39.953653,-75.164987,124,11219,,,2
8936,JFK Blvd & 17th St,39.954043,-75.168139,124,11219,,,3
8938,JFK Blvd & 18th St,39.954234,-75.169638,124,11219,,,4
8939,JFK Blvd & 19th St,39.954433,-75.171267,124,11219,,,5
2821,20th St & Market St,39.953625,-75.173207,124,11219,,,6
10279,Market St & 21st St,39.953843,-75.174918,124,11219,,,7
10281,Market St & 22nd St,39.954051,-75.176535,124,11219,,,8
10282,Market St & 23rd St,39.954187,-75.17768,124,11219,,,9
21536,Market St & 24th St - MBFS,39.954405,-75.17938,124,11219,,,10
30576,Schuylkill Av & JFK Blvd,39.955211,-75.180794,124,11219,,,11
28,Wissahickon Trans Ctr - onsite,40.014852,-75.207015,124,11219,,,12
30333,Gulph Mills Station,40.071141,-75.341982,124,11219,,,13
8347,South Gulph Rd & Crooked Ln,40.074233,-75.346875,124,11219,,,14
19097,Henderson Rd & South Gulph Rd - FS,40.076736,-75.353414,124,11219,,,15
8513,Henderson Rd & GulphMills Village Dr - FS,40.078941,-75.354926,124,11219,,,16
31571,Henderson Rd & Shoemaker Rd - FS,40.081495,-75.356651,124,11219,,,17
14952,Henderson Rd & Queens Dr,40.083762,-75.357181,124,11219,,,18
8508,Henderson Rd & Monroe Rd - FS,40.092699,-75.361325,124,11219,,,19
15197,DeKalb Pk & Henderson Rd - MBFS,40.094245,-75.364897,124,11219,,,20
31572,DeKalb Pk & Town Center Rd - FS,40.09322,-75.368033,124,11219,,,21
6694,DeKalb Pk & King Cr - FS,40.092311,-75.370873,124,11219,,,22
6678,DeKalb Pk & Brandywine Ln,40.091545,-75.373122,124,11219,,,23
26818,DeKalb Pk & Colonial Dr - MBNS,40.089735,-75.378294,124,11219,,,24
6675,DeKalb Pk & Allendale Rd,40.088647,-75.38156,124,11219,,,25
14953,Mall Blvd & Court Blvd,40.08765,-75.387654,124,11219,,,26
14978,Mall Blvd & Wills Blvd,40.090265,-75.389049,124,11219,,,27
29607,Mall Blvd & Ballys,40.090873,-75.390657,124,11219,,,28
1827,Plaza at King of Prussia         ,40.089615,-75.393403,124,11219,,,29
1702,Plaza at King of Prussia ParkN Ride,40.090329,-75.391888,124,11219,,,30
26820,Mall Blvd & Goddard Blvd - FS,40.090375,-75.396266,124,11219,,,31
29782,Mall Blvd & Pulaski Dr,40.086778,-75.396575,124,11219,,,32
11055,North Warner Rd & North Gulph Rd - ,40.084994,-75.401013,124,11219,,,33
7742,Swedesford Rd & South Warner Rd - FS,40.082049,-75.403463,124,11219,,,34
7726,Swedesford Rd & Drummers Ln - FS,40.080961,-75.410916,124,11219,,,35
7734,Swedesford Rd & IBM Building,40.07857,-75.417199,124,11219,,,36
29484,Swedesford Rd & W Valley Rd - FS,40.073974,-75.428236,124,11219,,,37
7741,Swedesford Rd & Gateway Shop Ctr,40.072868,-75.43182,124,11219,,,38
19085,Swedesford Rd & Valley Fair SC,40.071109,-75.439012,124,11219,,,39
19086,Swedesford Rd & Swedesford Plaza SC,40.071118,-75.442714,124,11219,,,40
19087,Swedesford Rd & Contention Ln,40.069636,-75.446771,124,11219,,,41
19089,Swedesford Rd & Chesterbrook Blvd,40.063081,-75.462381,124,11219,,,43
1725,Morris Dr & Liberty Ridge Dr - MBFS         ,40.06898,-75.46708,124,11219,,,44
332,Oxford Valley Mall & J C Penney,40.182351,-74.881268,127,11220,,,1
29617,Middletown Blvd & Oxford Sq ,40.184964,-74.884802,127,11220,,,2
29618,Middletown Blvd & Penn Square ,40.186146,-74.883566,127,11220,,,3
27970,Middletown Blvd & Town Center Dr,40.186521,-74.881615,127,11220,,,4
27972,North Bucks Town Rd & Town Ctr Dr,40.187004,-74.875676,127,11220,,,5
1747,North Bucks Town Rd & Sesame Pl,40.186747,-74.87204,127,11220,,,6
