stop_id,stop_name,stop_lat,stop_lon,route_short_name,route_id,route_color,route_text_color,stop_sequence
90401,Airport Terminal E F,39.8794444,-75.2397222,Airport Line,AIR,91456C,FFFFFF,1
90402,Airport Terminal C D,39.8780556,-75.24,Airport Line,AIR,91456C,FFFFFF,2
90403,Airport Terminal B,39.8772222,-75.2413889,Airport Line,AIR,91456C,FFFFFF,3
90404,Airport Terminal A,39.8761111,-75.2452778,Airport Line,AIR,91456C,FFFFFF,4
90405,Eastwick,39.8927778,-75.2438889,Airport Line,AIR,91456C,FFFFFF,7
90406,University City,39.9480556,-75.1902778,Airport Line,AIR,91456C,FFFFFF,13
90720,Chestnut Hill East,40.0811111,-75.2072222,Chestnut Hill East Line,CHE,94763C,FFFFFF,1
90719,Gravers,40.0775,-75.2016667,Chestnut Hill East Line,CHE,94763C,FFFFFF,3
90718,Wyndmoor,40.0733333,-75.1966667,Chestnut Hill East Line,CHE,94763C,FFFFFF,4
90717,Mount Airy,40.0652778,-75.1908333,Chestnut Hill East Line,CHE,94763C,FFFFFF,5
90716,Sedgwick,40.0627778,-75.1852778,Chestnut Hill East Line,CHE,94763C,FFFFFF,6
90715,Stenton,40.0605556,-75.1786111,Chestnut Hill East Line,CHE,94763C,FFFFFF,8
90714,Washington Lane,40.0508333,-75.1713889,Chestnut Hill East Line,CHE,94763C,FFFFFF,9
90713,Germantown,40.0375,-75.1716667,Chestnut Hill East Line,CHE,94763C,FFFFFF,10
90712,Wister,40.0361111,-75.1611111,Chestnut Hill East Line,CHE,94763C,FFFFFF,11
90009,Wayne Junction,40.0222222,-75.16,Chestnut Hill East Line,CHE,94763C,FFFFFF,12
90007,Temple University,39.9813889,-75.1494444,Chestnut Hill East Line,CHE,94763C,FFFFFF,18
90801,Chestnut Hill West,40.0763889,-75.2083333,Chestnut Hill West Line,CHW,00B4B2,FFFFFF,1
90802,Highland,40.0705556,-75.2111111,Chestnut Hill West Line,CHW,00B4B2,FFFFFF,3
90803,St. Martins,40.0658333,-75.2044444,Chestnut Hill West Line,CHW,00B4B2,FFFFFF,4
90804,Allen Lane,40.0575,-75.1947222,Chestnut Hill West Line,CHW,00B4B2,FFFFFF,6
90805,Carpenter,40.0511111,-75.1913889,Chestnut Hill West Line,CHW,00B4B2,FFFFFF,7
90806,Upsal,40.0425,-75.19,Chestnut Hill West Line,CHW,00B4B2,FFFFFF,9
90807,Tulpehocken,40.0352778,-75.1869444,Chestnut Hill West Line,CHW,00B4B2,FFFFFF,10
90808,Chelten Avenue,40.03,-75.1808333,Chestnut Hill West Line,CHW,00B4B2,FFFFFF,11
90809,Queen Lane,40.0233333,-75.1780556,Chestnut Hill West Line,CHW,00B4B2,FFFFFF,12
90810,North Philadelphia,39.9977778,-75.1563889,Chestnut Hill West Line,CHW,00B4B2,FFFFFF,14
90004,30th Street Station,39.9566667,-75.1816667,Chestnut Hill West Line,CHW,00B4B2,FFFFFF,24
90531,Lansdale,40.2427778,-75.285,Lansdale/Doylestown Line,LAN,775B49,FFFFFF,1
90530,Pennbrook,40.2302778,-75.2816667,Lansdale/Doylestown Line,LAN,775B49,FFFFFF,3
90529,North Wales,40.2141667,-75.2772222,Lansdale/Doylestown Line,LAN,775B49,FFFFFF,4
90528,Gwynedd Valley,40.1847222,-75.2569444,Lansdale/Doylestown Line,LAN,775B49,FFFFFF,5
90527,Penllyn,40.17,-75.2441667,Lansdale/Doylestown Line,LAN,775B49,FFFFFF,7
90526,Ambler,40.1536111,-75.2247222,Lansdale/Doylestown Line,LAN,775B49,FFFFFF,8
90525,Fort Washington,40.1358333,-75.2122222,Lansdale/Doylestown Line,LAN,775B49,FFFFFF,10
90524,Oreland,40.1183333,-75.1838889,Lansdale/Doylestown Line,LAN,775B49,FFFFFF,12
90523,North Hills,40.1119444,-75.1694444,Lansdale/Doylestown Line,LAN,775B49,FFFFFF,14
90411,Glenside,40.1013889,-75.1536111,Lansdale/Doylestown Line,LAN,775B49,FFFFFF,16
90410,Jenkintown Wyncote,40.0927778,-75.1375,Lansdale/Doylestown Line,LAN,775B49,FFFFFF,19
90408,Melrose Park,40.0594444,-75.1291667,Lansdale/Doylestown Line,LAN,775B49,FFFFFF,22
90407,Fern Rock T C,40.0405556,-75.1347222,Lansdale/Doylestown Line,LAN,775B49,FFFFFF,25
90009,Wayne Junction,40.0222222,-75.16,Lansdale/Doylestown Line,LAN,775B49,FFFFFF,28
90008,North Broad,39.9922222,-75.1538889,Lansdale/Doylestown Line,LAN,775B49,FFFFFF,33
90007,Temple University,39.9813889,-75.1494444,Lansdale/Doylestown Line,LAN,775B49,FFFFFF,34
90301,Elwyn,39.9075,-75.4116667,Media/Elwyn Line,MED,007CC8,FFFFFF,1
90302,Media,39.9144444,-75.395,Media/Elwyn Line,MED,007CC8,FFFFFF,3
90306,Morton-Rutledge,39.9077778,-75.3288889,Media/Elwyn Line,MED,007CC8,FFFFFF,7
90307,Secane,39.9158333,-75.3097222,Media/Elwyn Line,MED,007CC8,FFFFFF,9
90308,Primos,39.9216667,-75.2983333,Media/Elwyn Line,MED,007CC8,FFFFFF,10
90309,Clifton-Aldan,39.9266667,-75.2902778,Media/Elwyn Line,MED,007CC8,FFFFFF,11
90310,Gladstone,39.9327778,-75.2822222,Media/Elwyn Line,MED,007CC8,FFFFFF,12
90311,Lansdowne,39.9375,-75.2708333,Media/Elwyn Line,MED,007CC8,FFFFFF,13
90312,Fernwood-Yeadon,39.9397222,-75.2558333,Media/Elwyn Line,MED,007CC8,FFFFFF,14
90406,University City,39.9480556,-75.1902778,Media/Elwyn Line,MED,007CC8,FFFFFF,19
90815,Fox Chase,40.0763889,-75.0833333,Fox Chase Line,FOX,FF823D,FFFFFF,1
90814,Ryers,40.0641667,-75.0863889,Fox Chase Line,FOX,FF823D,FFFFFF,3
90813,Cheltenham,40.0580556,-75.0927778,Fox Chase Line,FOX,FF823D,FFFFFF,4
90812,Lawndale,40.0513889,-75.1030556,Fox Chase Line,FOX,FF823D,FFFFFF,7
90811,Olney,40.0333333,-75.1227778,Fox Chase Line,FOX,FF823D,FFFFFF,8
90009,Wayne Junction,40.0222222,-75.16,Fox Chase Line,FOX,FF823D,FFFFFF,11
90007,Temple University,39.9813889,-75.1494444,Fox Chase Line,FOX,FF823D,FFFFFF,17
90228,Norristown,40.1202778,-75.3475,Manayunk/Norristown Line,NOR,EE4C69,FFFFFF,1
90227,Main Street,40.1172222,-75.3486111,Manayunk/Norristown Line,NOR,EE4C69,FFFFFF,3
90226,Norristown T.C.,40.1127778,-75.3441667,Manayunk/Norristown Line,NOR,EE4C69,FFFFFF,6
90225,Conshohocken,40.0722222,-75.3086111,Manayunk/Norristown Line,NOR,EE4C69,FFFFFF,9
90224,Spring Mill,40.0741667,-75.2861111,Manayunk/Norristown Line,NOR,EE4C69,FFFFFF,10
90223,Miquon,40.0586111,-75.2663889,Manayunk/Norristown Line,NOR,EE4C69,FFFFFF,11
90222,Ivy Ridge,40.0341667,-75.2355556,Manayunk/Norristown Line,NOR,EE4C69,FFFFFF,15
90221,Manayunk,40.0269444,-75.225,Manayunk/Norristown Line,NOR,EE4C69,FFFFFF,17
90220,Wissahickon,40.0166667,-75.2102778,Manayunk/Norristown Line,NOR,EE4C69,FFFFFF,18
90219,East Falls,40.0113889,-75.1919444,Manayunk/Norristown Line,NOR,EE4C69,FFFFFF,20
90218,Allegheny,40.0036111,-75.1647222,Manayunk/Norristown Line,NOR,EE4C69,FFFFFF,21
90008,North Broad,39.9922222,-75.1538889,Manayunk/Norristown Line,NOR,EE4C69,FFFFFF,23
90007,Temple University,39.9813889,-75.1494444,Manayunk/Norristown Line,NOR,EE4C69,FFFFFF,24
90501,Thorndale,39.9927778,-75.7636111,Paoli/Thorndale Line,PAO,20825C,FFFFFF,1
90502,Downingtown,40.0022222,-75.7102778,Paoli/Thorndale Line,PAO,20825C,FFFFFF,3
90503,Whitford,40.0147222,-75.6380556,Paoli/Thorndale Line,PAO,20825C,FFFFFF,5
90504,Exton,40.0191667,-75.6227778,Paoli/Thorndale Line,PAO,20825C,FFFFFF,6
90505,Malvern,40.0363889,-75.5155556,Paoli/Thorndale Line,PAO,20825C,FFFFFF,9
90506,Paoli,40.0430556,-75.4827778,Paoli/Thorndale Line,PAO,20825C,FFFFFF,10
90507,Daylesford,40.0430556,-75.4605556,Paoli/Thorndale Line,PAO,20825C,FFFFFF,11
90508,Berwyn,40.0480556,-75.4422222,Paoli/Thorndale Line,PAO,20825C,FFFFFF,12
90509,Devon,40.0472222,-75.4227778,Paoli/Thorndale Line,PAO,20825C,FFFFFF,13
90510,Strafford,40.0494444,-75.4030556,Paoli/Thorndale Line,PAO,20825C,FFFFFF,14
90511,Wayne,40.0458333,-75.3866667,Paoli/Thorndale Line,PAO,20825C,FFFFFF,16
90512,St. Davids,40.0438889,-75.3725,Paoli/Thorndale Line,PAO,20825C,FFFFFF,17
90513,Radnor,40.0447222,-75.3588889,Paoli/Thorndale Line,PAO,20825C,FFFFFF,18
90514,Villanova,40.0383333,-75.3416667,Paoli/Thorndale Line,PAO,20825C,FFFFFF,19
90515,Rosemont,40.0277778,-75.3266667,Paoli/Thorndale Line,PAO,20825C,FFFFFF,21
90516,Bryn Mawr,40.0219444,-75.3163889,Paoli/Thorndale Line,PAO,20825C,FFFFFF,22
90517,Haverford,40.0138889,-75.2997222,Paoli/Thorndale Line,PAO,20825C,FFFFFF,23
90518,Ardmore,40.0083333,-75.2902778,Paoli/Thorndale Line,PAO,20825C,FFFFFF,24
90519,Wynnewood,40.0027778,-75.2725,Paoli/Thorndale Line,PAO,20825C,FFFFFF,25
90520,Narberth,40.0047222,-75.2613889,Paoli/Thorndale Line,PAO,20825C,FFFFFF,26
90521,Merion,39.9986111,-75.2513889,Paoli/Thorndale Line,PAO,20825C,FFFFFF,27
90522,Overbrook,39.9894444,-75.2494444,Paoli/Thorndale Line,PAO,20825C,FFFFFF,29
90004,30th Street Station,39.9566667,-75.1816667,Paoli/Thorndale Line,PAO,20825C,FFFFFF,40
90201,Newark,39.6705556,-75.7527778,Wilmington/Newark Line,WIL,8AD16B,FFFFFF,1
90202,Churchman's Crossing,39.695,-75.6725,Wilmington/Newark Line,WIL,8AD16B,FFFFFF,4
90203,Wilmington,39.7372222,-75.5511111,Wilmington/Newark Line,WIL,8AD16B,FFFFFF,8
