stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
3,,Park/Speedway,N PARK AVE & E SPEEDWAY BLVD,32.236753,-110.956685,,,,,0
4,,Glenn/Campbell,E GLENN ST & N CAMPBELL AV,32.257543,-110.943543,,,,,0
5,,Glenn/Alvernon,E GLENN ST & N ALVERNON WAY,32.257785,-110.909233,,,,,0
8,,Glenn/Alvernon,E GLENN ST & N HASKELL DR,32.257945,-110.910127,,,,,0
9,,Glenn/Campbell,E GLENN ST & N CAMPBELL AV,32.257615,-110.943542,,,,,0
14,,Forgeus/36th St,S FORGEUS STRAV & E 36TH ST,32.192682,-110.935772,,,,,0
18,,UAMC/Kino Campus,UAMC KINO,32.17689,-110.930741,,,,,0
20,,Escalante/Pantano,E ESCALANTE RD & S PANTANO RD,32.17723,-110.823121,,,,,0
21,,Stella/Kolb,E STELLA RD & S KOLB RD,32.184746,-110.841452,,,,,0
22,,Wilmot/Broadway,S WILMOT RD & E BROADWAY BLVD,32.220401,-110.8581,,,,,0
23,,5th St/Alvernon,E 5TH ST & N ALVERNON WAY,32.228973,-110.91003,,,,,0
25,,Downtown Ronstadt Center,W RONSTADT TRANSIT CENTER DR,32.222626,-110.968119,,,,,0
28,,Downtown Ronstadt Center,W RONSTADT TRANSIT CENTER DR & E TANQUE VERDE RD,32.222474,-110.968219,,,,,0
29,,6th St/Campbell,E 6TH ST & N CAMPBELL AVE,32.227727,-110.942714,,,,,0
30,,5th St/Alvernon,E 5TH ST & N ALVERNON WAY,32.228805,-110.909321,,,,,0
32,,Stella/Kolb,E STELLA RD & S KOLB RD,32.184594,-110.840733,,,,,0
34,,Pima College East Campus,S FRED ENKE DR & E PCC EAST PL,32.166109,-110.815521,,,,,0
35,,Harrison/Golf Links,S HARRISON RD & E GOLF LINKS RD,32.192619,-110.789644,,,,,0
36,,Speedway/Harrison Park N Ride,E SH PARK N RIDE WAY & N EUCLID AVE,32.23501,-110.790247,,,,,0
40,,Speedway/Alvernon,E SPEEDWAY BLVD & N ALVERNON WAY,32.236315,-110.910143,,,,,0
41,,Speedway/Campbell,E SPEEDWAY BLVD & N WARREN AVE,32.236178,-110.944438,,,,,0
42,,6th Av/Pennington,N 6TH AVE & W RONSTADT TRANSIT CENTER DR,32.223375,-110.968582,,,,,0
45,,Speedway/Campbell,E SPEEDWAY BL & N CAMPBELL AV,32.235911,-110.943469,,,,,0
46,,Speedway/Alvernon,E SPEEDWAY BLVD & N ALVERNON WAY,32.236046,-110.909159,,,,,0
47,,Speedway/Wilmot,E SPEEDWAY BLVD & N WILMOT RD,32.235564,-110.857491,,,,,0
48,,Kolb/Golf Links,S KOLB RD & E 34TH ST,32.192325,-110.840761,,,,,0
51,,Harrison/Golf Links,S HARRISON RD & E GOLF LINKS RD,32.192908,-110.789843,,,,,0
53,,Pima/Alvernon,E PIMA ST & N ROSEMARY DR,32.243463,-110.909953,,,,,0
54,,Pima/Alvernon,E PIMA ST & N ALVERNON WAY,32.243415,-110.909335,,,,,0
57,,Park/Bilby,S PARK AV & E BILBY RD,32.141665,-110.956025,,,,,0
58,,Park/Ajo,S PARK AVE & E AJO WAY,32.178281,-110.956155,,,,,0
60,,Euclid/6th St,N EUCLID AVE & E 5TH ST,32.228305,-110.959311,,,,,0
64,,Fort Lowell/1st Avenue,E FORT LOWELL RD & N 1ST AVE,32.26468,-110.960637,,,,,0
65,,Euclid/6th St,N EUCLID AVE & E 6TH ST,32.227424,-110.959551,,,,,0
67,,Park/Ajo,S PARK AVE & E AJO WAY,32.178865,-110.956384,,,,,0
70,,22nd St/Wilmot,E 22ND ST & S WILMOT RD,32.206884,-110.858354,,,,,0
71,,22nd St/Alvernon,E 22ND ST & S ALVERNON WAY,32.20689,-110.909141,,,,,0
74,,22nd St/Alvernon,E 22ND ST & S ALVERNON WAY,32.207114,-110.910221,,,,,0
75,,22nd St/Wilmot,E 22ND ST & S WILMOT RD,32.20658,-110.857583,,,,,0
76,,6th Av/29th St,S 6TH AVE & E 29TH ST,32.199712,-110.968349,,,,,0
78,,Broadway/Randolph Way,E BROADWAY BLVD & S RANDOLPH WAY,32.221466,-110.917685,,,,,0
81,,Wilmot/Broadway,N WILMOT RD & E BROADWAY BLVD,32.221957,-110.857742,,,,,0
82,,Tanque Verde/Sabino Canyon,E TANQUE VERDE RD & N SABINO CANYON RD,32.250925,-110.841251,,,,,0
