service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,0,1,1,0,0,20211205,20220326
2,1,0,0,1,1,0,0,20211205,20220326
3,1,1,1,1,1,0,0,20211205,20220326
4,0,0,0,0,1,0,0,20211205,20220326
6,0,0,0,0,0,0,1,20211205,20220326
7,1,1,1,1,1,0,0,20211205,20220326
8,1,1,1,1,1,0,0,20211205,20220326
9,1,1,0,1,1,0,0,20211205,20220326
11,1,1,0,1,1,0,0,20211205,20220326
12,0,0,1,0,0,0,0,20211205,20220326
13,1,1,0,1,1,0,0,20211205,20220326
14,0,0,0,0,0,1,0,20211205,20220326
15,1,1,0,1,1,0,0,20211205,20220326
16,0,0,1,0,0,0,0,20211205,20220326
18,1,1,1,1,0,0,0,20211205,20220326
19,0,0,1,0,0,0,0,20211205,20220326
20,1,1,1,1,1,0,0,20211205,20220326
21,1,1,0,1,1,0,0,20211205,20220326
22,1,1,1,1,1,0,0,20211205,20220326
26,0,1,0,0,0,0,0,20211205,20220326
27,1,1,1,1,1,0,0,20211205,20220326
28,1,1,1,1,1,0,0,20211205,20220326
29,0,0,0,0,1,0,0,20211205,20220326
14-1,0,0,0,0,1,0,0,20211204,20220325
20-1,1,1,1,1,0,0,1,20211204,20220325
3-1,1,1,1,1,0,0,1,20211204,20220325
6-1,0,0,0,0,0,1,0,20211204,20220325
