service_id,date,exception_type
5,20220222,1
5,20220223,1
5,20211227,1
5,20220224,1
5,20220218,1
5,20211221,1
5,20211223,1
5,20211222,1
5,20211220,1
5,20220128,1
5,20220225,1
5,20211230,1
5,20211229,1
5,20211228,1
6,20220117,1
6,20211231,1
6,20211224,1
6,20220221,1
10,20220107,1
10,20220106,1
10,20211229,1
10,20211228,1
10,20220105,1
10,20220318,1
10,20211227,1
10,20211223,1
10,20211230,1
10,20220103,1
10,20220104,1
17,20211223,1
17,20211229,1
17,20220118,1
17,20211222,1
17,20211221,1
17,20220223,1
17,20211230,1
17,20220225,1
17,20220222,1
17,20211220,1
17,20220224,1
17,20211227,1
17,20211228,1
23,20211217,1
23,20211216,1
23,20220318,1
24,20211221,1
24,20211228,1
24,20220114,1
24,20211222,1
24,20211230,1
24,20211223,1
24,20211220,1
24,20211229,1
24,20211227,1
25,20211229,1
25,20211228,1
25,20211222,1
25,20211220,1
25,20211223,1
25,20211230,1
25,20211227,1
25,20211221,1
18,20211216,2
28,20211216,2
28,20211217,2
29,20211217,2
1,20211220,2
7,20211220,2
8,20211220,2
9,20211220,2
11,20211220,2
13,20211220,2
15,20211220,2
18,20211220,2
20,20211220,2
27,20211220,2
28,20211220,2
1,20211221,2
7,20211221,2
8,20211221,2
9,20211221,2
11,20211221,2
13,20211221,2
15,20211221,2
18,20211221,2
20,20211221,2
27,20211221,2
28,20211221,2
7,20211222,2
8,20211222,2
12,20211222,2
18,20211222,2
19,20211222,2
20,20211222,2
27,20211222,2
28,20211222,2
1,20211223,2
2,20211223,2
7,20211223,2
8,20211223,2
9,20211223,2
11,20211223,2
13,20211223,2
15,20211223,2
18,20211223,2
20,20211223,2
21,20211223,2
22,20211223,2
27,20211223,2
28,20211223,2
1,20211224,2
2,20211224,2
3,20211224,2
4,20211224,2
7,20211224,2
8,20211224,2
9,20211224,2
11,20211224,2
13,20211224,2
15,20211224,2
20,20211224,2
21,20211224,2
22,20211224,2
27,20211224,2
28,20211224,2
29,20211224,2
1,20211227,2
2,20211227,2
7,20211227,2
8,20211227,2
9,20211227,2
11,20211227,2
13,20211227,2
15,20211227,2
18,20211227,2
20,20211227,2
21,20211227,2
22,20211227,2
27,20211227,2
28,20211227,2
1,20211228,2
7,20211228,2
8,20211228,2
9,20211228,2
11,20211228,2
13,20211228,2
15,20211228,2
18,20211228,2
20,20211228,2
21,20211228,2
22,20211228,2
26,20211228,2
27,20211228,2
28,20211228,2
7,20211229,2
8,20211229,2
12,20211229,2
16,20211229,2
18,20211229,2
19,20211229,2
20,20211229,2
22,20211229,2
27,20211229,2
28,20211229,2
1,20211230,2
2,20211230,2
7,20211230,2
8,20211230,2
9,20211230,2
11,20211230,2
13,20211230,2
15,20211230,2
18,20211230,2
20,20211230,2
21,20211230,2
22,20211230,2
27,20211230,2
28,20211230,2
1,20211231,2
2,20211231,2
3,20211231,2
4,20211231,2
7,20211231,2
8,20211231,2
9,20211231,2
11,20211231,2
13,20211231,2
15,20211231,2
20,20211231,2
21,20211231,2
22,20211231,2
27,20211231,2
28,20211231,2
29,20211231,2
2,20220103,2
21,20220103,2
22,20220103,2
21,20220104,2
22,20220104,2
26,20220104,2
16,20220105,2
22,20220105,2
2,20220106,2
21,20220106,2
22,20220106,2
2,20220107,2
21,20220107,2
22,20220107,2
11,20220114,2
20,20220114,2
1,20220117,2
2,20220117,2
3,20220117,2
7,20220117,2
8,20220117,2
9,20220117,2
11,20220117,2
13,20220117,2
15,20220117,2
18,20220117,2
20,20220117,2
21,20220117,2
22,20220117,2
27,20220117,2
28,20220117,2
1,20220118,2
27,20220118,2
8,20220128,2
13,20220128,2
15,20220128,2
15,20220214,2
18,20220214,2
28,20220214,2
8,20220218,2
13,20220218,2
1,20220221,2
2,20220221,2
3,20220221,2
7,20220221,2
8,20220221,2
9,20220221,2
11,20220221,2
13,20220221,2
15,20220221,2
18,20220221,2
20,20220221,2
21,20220221,2
22,20220221,2
27,20220221,2
28,20220221,2
1,20220222,2
8,20220222,2
13,20220222,2
27,20220222,2
8,20220223,2
12,20220223,2
27,20220223,2
1,20220224,2
8,20220224,2
13,20220224,2
27,20220224,2
1,20220225,2
8,20220225,2
13,20220225,2
27,20220225,2
18,20220228,2
28,20220228,2
2,20220318,2
21,20220318,2
22,20220318,2
20-1,20211219,2
20-1,20211220,2
20-1,20211221,2
20-1,20211222,2
20-1,20211223,2
20-1,20211226,2
20-1,20211227,2
20-1,20211228,2
20-1,20211229,2
20-1,20211230,2
20-1,20220113,2
20-1,20220116,2
20-1,20220220,2
24-1,20211219,1
24-1,20211220,1
24-1,20211221,1
24-1,20211222,1
24-1,20211226,1
24-1,20211227,1
24-1,20211228,1
24-1,20211229,1
24-1,20220113,1
3-1,20211223,2
3-1,20211230,2
3-1,20220116,2
3-1,20220220,2
6-1,20211223,1
6-1,20211230,1
6-1,20220116,1
6-1,20220220,1
