trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
259010,18,6,"University Village, Albany",,1,112926201,shp-18-18,0,0
7738070,40,14,"Downtown Oakland",,1,112318707,shp-40-16,0,0
6275020,99,3,"Hayward BART",,1,113368202,shp-99-10,0,0
12453010,6,6,"Downtown Berkeley",,1,112921401,shp-6-14,0,0
11841070,70,14,"Richmond Parkway Transit Center",,1,112400407,shp-70-01,0,0
4060070,6,14,"Downtown Oakland",,0,112922907,shp-6-59,0,0
5146070,18,14,"University Village, Albany",,1,112925507,shp-18-18,0,0
10443010,40,6,"Downtown Oakland",,1,112331701,shp-40-16,0,0
5216020,40,3,"Bay Fair BART",,0,113319402,shp-40-62,0,0
8120070,72M,14,"Point Richmond",,1,112399407,shp-72M-39,0,0
227020,29,3,"Grand Lake District",,1,113455502,shp-29-30,0,0
10297070,98,14,"Eastmont Transit Center",,1,112319507,shp-98-02,0,0
10734010,51B,6,"Berkeley Amtrak",,1,112709401,shp-51B-14,0,0
11735070,6,14,"Downtown Oakland",,0,112922607,shp-6-59,0,0
5085020,72M,3,"Jack London Square",,0,113445202,shp-72M-60,0,0
2584020,40,3,"Downtown Oakland",,1,113315602,shp-40-16,0,0
12123010,800,6,"Richmond BART",,1,112706001,shp-800-83,0,0
3715070,40,14,"Downtown Oakland",,1,112319007,shp-40-16,0,0
1295010,88,6,"Downtown Berkeley",,1,112708901,shp-88-07,0,0
13429070,72M,14,"Jack London Square",,0,112400107,shp-72M-60,0,0
10826070,96,14,"Dimond District",,1,112924307,shp-96-09,0,0
8515010,71,6,"Richmond Parkway Transit Center",,1,112395701,shp-71-03,0,0
745020,NL,3,"San Francisco",,0,113318402,shp-NL-57,0,0
2578070,1T,14,"Uptown Oakland",,1,112321607,shp-1T-05,0,0
12244010,33,6,"Montclair",,1,112919501,shp-33-14,0,0
1692020,88,3,"Lake Merritt BART",,0,113456902,shp-88-08,0,0
5431010,20,6,"Dimond District",,1,112718501,shp-20-18,0,0
