service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2022_02_14-DX-MVS-Weekday-02,1,1,1,1,1,0,0,20220214,20220909
2022_02_14-SA-MVS-Saturday-03,0,0,0,0,0,1,0,20220219,20220910
2022_02_14-SU-MVS-Sunday-27,0,0,0,0,0,0,1,20220220,20220911
2022_02_14-SU-MVS-Sunday-25,0,0,0,0,0,0,1,20220220,20220905
2022_02_14-DX19-Weekday-01,1,1,1,1,1,0,0,20220214,20220909
2022_02_14-DX20-Weekday-01,1,1,1,1,1,0,0,20220214,20220909
2022_02_14-SA19-Saturday-01,0,0,0,0,0,1,0,20220219,20220910
2022_02_14-SA20-Saturday-01,0,0,0,0,0,1,0,20220219,20220910
2022_02_14-SU19-Sunday-01,0,0,0,0,0,0,1,20220220,20220911
2022_02_14-SU20-Sunday-01,0,0,0,0,0,0,1,20220220,20220911
