service_id,date,exception_type
2022_02_14-DX-MVS-Weekday-02,20220221,2
2022_02_14-DX-MVS-Weekday-02,20220530,2
2022_02_14-DX-MVS-Weekday-02,20220704,2
2022_02_14-DX-MVS-Weekday-02,20220905,2
2022_02_14-SA-MVS-Saturday-03,20220221,1
2022_02_14-SU-MVS-Sunday-27,20220220,2
2022_02_14-SU-MVS-Sunday-27,20220227,2
2022_02_14-SU-MVS-Sunday-27,20220306,2
2022_02_14-SU-MVS-Sunday-27,20220313,2
2022_02_14-SU-MVS-Sunday-27,20220403,2
2022_02_14-SU-MVS-Sunday-27,20220410,2
2022_02_14-SU-MVS-Sunday-27,20220417,2
2022_02_14-SU-MVS-Sunday-27,20220501,2
2022_02_14-SU-MVS-Sunday-27,20220515,2
2022_02_14-SU-MVS-Sunday-27,20220529,2
2022_02_14-SU-MVS-Sunday-27,20220612,2
2022_02_14-SU-MVS-Sunday-27,20220619,2
2022_02_14-SU-MVS-Sunday-27,20220626,2
2022_02_14-SU-MVS-Sunday-27,20220703,2
2022_02_14-SU-MVS-Sunday-27,20220710,2
2022_02_14-SU-MVS-Sunday-27,20220717,2
2022_02_14-SU-MVS-Sunday-27,20220724,2
2022_02_14-SU-MVS-Sunday-27,20220731,2
2022_02_14-SU-MVS-Sunday-27,20220807,2
2022_02_14-SU-MVS-Sunday-27,20220814,2
2022_02_14-SU-MVS-Sunday-27,20220828,2
2022_02_14-SU-MVS-Sunday-27,20220904,2
2022_02_14-SU-MVS-Sunday-25,20220320,2
2022_02_14-SU-MVS-Sunday-25,20220327,2
2022_02_14-SU-MVS-Sunday-25,20220424,2
2022_02_14-SU-MVS-Sunday-25,20220508,2
2022_02_14-SU-MVS-Sunday-25,20220522,2
2022_02_14-SU-MVS-Sunday-25,20220605,2
2022_02_14-SU-MVS-Sunday-25,20220530,1
2022_02_14-SU-MVS-Sunday-25,20220704,1
2022_02_14-SU-MVS-Sunday-25,20220905,1
2022_02_14-DX19-Weekday-01,20220221,2
2022_02_14-DX19-Weekday-01,20220530,2
2022_02_14-DX19-Weekday-01,20220905,2
2022_02_14-DX20-Weekday-01,20220221,2
2022_02_14-DX20-Weekday-01,20220530,2
2022_02_14-DX20-Weekday-01,20220905,2
2022_02_14-SA19-Saturday-01,20220221,1
2022_02_14-SA20-Saturday-01,20220221,1
2022_02_14-SU19-Sunday-01,20220530,1
2022_02_14-SU19-Sunday-01,20220905,1
2022_02_14-SU20-Sunday-01,20220530,1
2022_02_14-SU20-Sunday-01,20220905,1
