fare_id,price,currency_type,payment_method,transfers,transfer_duration
1,6.20,USD,1,,
2,3.45,USD,1,,
3,8.25,USD,1,,
4,3.45,USD,1,,
5,7.10,USD,1,,
6,5.70,USD,1,,
7,5.50,USD,1,,
8,5.30,USD,1,,
9,5.10,USD,1,,
10,5.05,USD,1,,
11,4.95,USD,1,,
12,4.85,USD,1,,
13,4.70,USD,1,,
14,4.70,USD,1,,
15,4.70,USD,1,,
16,5.00,USD,1,,
17,5.25,USD,1,,
18,5.55,USD,1,,
19,5.80,USD,1,,
20,6.10,USD,1,,
21,6.40,USD,1,,
22,6.95,USD,1,,
23,7.30,USD,1,,
24,6.10,USD,1,,
25,7.30,USD,1,,
26,7.75,USD,1,,
27,7.20,USD,1,,
28,3.45,USD,1,,
29,6.95,USD,1,,
30,6.50,USD,1,,
31,6.35,USD,1,,
32,5.95,USD,1,,
33,5.55,USD,1,,
34,4.95,USD,1,,
35,4.65,USD,1,,
36,4.25,USD,1,,
37,4.25,USD,1,,
38,4.25,USD,1,,
39,4.25,USD,1,,
40,4.05,USD,1,,
41,3.95,USD,1,,
42,3.65,USD,1,,
43,3.45,USD,1,,
44,3.45,USD,1,,
45,11.70,USD,1,,
46,7.80,USD,1,,
47,8.55,USD,1,,
48,8.80,USD,1,,
49,7.90,USD,1,,
50,8.60,USD,1,,
51,3.45,USD,1,,
52,6.20,USD,1,,
53,8.25,USD,1,,
54,3.45,USD,1,,
55,7.40,USD,1,,
56,6.00,USD,1,,
57,5.75,USD,1,,
58,5.60,USD,1,,
59,5.40,USD,1,,
60,5.35,USD,1,,
61,5.25,USD,1,,
62,5.10,USD,1,,
63,5.00,USD,1,,
64,5.00,USD,1,,
65,5.00,USD,1,,
66,5.30,USD,1,,
67,5.50,USD,1,,
68,5.80,USD,1,,
69,6.10,USD,1,,
70,6.40,USD,1,,
71,6.70,USD,1,,
72,7.25,USD,1,,
73,7.60,USD,1,,
74,6.40,USD,1,,
75,7.55,USD,1,,
76,8.00,USD,1,,
77,7.45,USD,1,,
78,3.45,USD,1,,
79,7.25,USD,1,,
80,6.80,USD,1,,
81,6.65,USD,1,,
82,6.25,USD,1,,
83,5.85,USD,1,,
84,5.25,USD,1,,
85,4.90,USD,1,,
86,4.65,USD,1,,
87,4.65,USD,1,,
88,4.65,USD,1,,
89,4.65,USD,1,,
90,4.45,USD,1,,
91,4.35,USD,1,,
92,4.10,USD,1,,
93,3.95,USD,1,,
94,3.45,USD,1,,
95,12.00,USD,1,,
96,8.05,USD,1,,
97,8.85,USD,1,,
98,9.10,USD,1,,
99,8.20,USD,1,,
100,8.85,USD,1,,
101,8.25,USD,1,,
102,8.25,USD,1,,
103,6.20,USD,1,,
104,4.80,USD,1,,
105,12.40,USD,1,,
106,11.00,USD,1,,
107,10.75,USD,1,,
108,10.60,USD,1,,
109,10.40,USD,1,,
110,10.30,USD,1,,
111,10.25,USD,1,,
112,10.10,USD,1,,
113,10.00,USD,1,,
114,10.00,USD,1,,
115,10.00,USD,1,,
116,10.30,USD,1,,
117,10.50,USD,1,,
118,10.80,USD,1,,
119,11.10,USD,1,,
120,11.40,USD,1,,
121,11.70,USD,1,,
122,12.25,USD,1,,
123,12.60,USD,1,,
124,11.40,USD,1,,
125,12.55,USD,1,,
126,13.00,USD,1,,
127,12.45,USD,1,,
128,8.60,USD,1,,
129,12.25,USD,1,,
130,11.80,USD,1,,
131,11.65,USD,1,,
132,11.25,USD,1,,
133,10.85,USD,1,,
134,10.25,USD,1,,
135,9.90,USD,1,,
136,9.65,USD,1,,
137,9.65,USD,1,,
138,9.65,USD,1,,
139,9.65,USD,1,,
140,9.60,USD,1,,
141,9.50,USD,1,,
142,9.20,USD,1,,
143,9.10,USD,1,,
144,8.85,USD,1,,
145,17.00,USD,1,,
146,13.05,USD,1,,
147,13.85,USD,1,,
148,14.10,USD,1,,
149,13.20,USD,1,,
150,13.85,USD,1,,
151,3.45,USD,1,,
152,3.45,USD,1,,
153,4.80,USD,1,,
154,6.20,USD,1,,
155,7.75,USD,1,,
