fare_id,route_id,origin_id,destination_id,contains_id
1,,SSAN,SSAN,
2,,SSAN,SBRN,
3,,SSAN,SFIA,
4,,SSAN,MLBR,
5,,SSAN,WDUB,
6,,SSAN,RICH,
7,,SSAN,DELN,
8,,SSAN,PLZA,
9,,SSAN,NBRK,
10,,SSAN,DBRK,
11,,SSAN,ASHB,
12,,SSAN,MCAR,
13,,SSAN,19TH,
14,,SSAN,12TH,
15,,SSAN,LAKE,
16,,SSAN,FTVL,
17,,SSAN,COLS,
18,,SSAN,SANL,
19,,SSAN,BAYF,
20,,SSAN,HAYW,
21,,SSAN,SHAY,
22,,SSAN,UCTY,
23,,SSAN,FRMT,
24,,SSAN,CAST,
25,,SSAN,DUBL,
26,,SSAN,PITT,
27,,SSAN,NCON,
28,,SSAN,COLM,
29,,SSAN,CONC,
30,,SSAN,PHIL,
31,,SSAN,WCRK,
32,,SSAN,LAFY,
33,,SSAN,ORIN,
34,,SSAN,ROCK,
35,,SSAN,WOAK,
36,,SSAN,EMBR,
37,,SSAN,MONT,
38,,SSAN,POWL,
39,,SSAN,CIVC,
40,,SSAN,16TH,
41,,SSAN,24TH,
42,,SSAN,GLEN,
43,,SSAN,BALB,
44,,SSAN,DALY,
45,,SSAN,OAKL,
46,,SSAN,WARM,
47,,SSAN,MLPT,
48,,SSAN,BERY,
49,,SSAN,PCTR,
50,,SSAN,ANTC,
51,,SBRN,SSAN,
52,,SBRN,SBRN,
53,,SBRN,SFIA,
54,,SBRN,MLBR,
55,,SBRN,WDUB,
56,,SBRN,RICH,
57,,SBRN,DELN,
58,,SBRN,PLZA,
59,,SBRN,NBRK,
60,,SBRN,DBRK,
61,,SBRN,ASHB,
62,,SBRN,MCAR,
63,,SBRN,19TH,
64,,SBRN,12TH,
65,,SBRN,LAKE,
66,,SBRN,FTVL,
67,,SBRN,COLS,
68,,SBRN,SANL,
69,,SBRN,BAYF,
70,,SBRN,HAYW,
71,,SBRN,SHAY,
72,,SBRN,UCTY,
73,,SBRN,FRMT,
74,,SBRN,CAST,
75,,SBRN,DUBL,
76,,SBRN,PITT,
77,,SBRN,NCON,
78,,SBRN,COLM,
79,,SBRN,CONC,
80,,SBRN,PHIL,
81,,SBRN,WCRK,
82,,SBRN,LAFY,
83,,SBRN,ORIN,
84,,SBRN,ROCK,
85,,SBRN,WOAK,
86,,SBRN,EMBR,
87,,SBRN,MONT,
88,,SBRN,POWL,
89,,SBRN,CIVC,
90,,SBRN,16TH,
91,,SBRN,24TH,
92,,SBRN,GLEN,
93,,SBRN,BALB,
94,,SBRN,DALY,
95,,SBRN,OAKL,
96,,SBRN,WARM,
97,,SBRN,MLPT,
98,,SBRN,BERY,
99,,SBRN,PCTR,
100,,SBRN,ANTC,
101,,SFIA,SSAN,
102,,SFIA,SBRN,
103,,SFIA,SFIA,
104,,SFIA,MLBR,
105,,SFIA,WDUB,
106,,SFIA,RICH,
107,,SFIA,DELN,
108,,SFIA,PLZA,
109,,SFIA,NBRK,
110,,SFIA,DBRK,
111,,SFIA,ASHB,
112,,SFIA,MCAR,
113,,SFIA,19TH,
114,,SFIA,12TH,
115,,SFIA,LAKE,
116,,SFIA,FTVL,
117,,SFIA,COLS,
118,,SFIA,SANL,
119,,SFIA,BAYF,
120,,SFIA,HAYW,
121,,SFIA,SHAY,
122,,SFIA,UCTY,
123,,SFIA,FRMT,
124,,SFIA,CAST,
125,,SFIA,DUBL,
126,,SFIA,PITT,
127,,SFIA,NCON,
128,,SFIA,COLM,
129,,SFIA,CONC,
130,,SFIA,PHIL,
131,,SFIA,WCRK,
132,,SFIA,LAFY,
133,,SFIA,ORIN,
134,,SFIA,ROCK,
135,,SFIA,WOAK,
136,,SFIA,EMBR,
137,,SFIA,MONT,
138,,SFIA,POWL,
139,,SFIA,CIVC,
140,,SFIA,16TH,
141,,SFIA,24TH,
142,,SFIA,GLEN,
143,,SFIA,BALB,
144,,SFIA,DALY,
145,,SFIA,OAKL,
146,,SFIA,WARM,
147,,SFIA,MLPT,
148,,SFIA,BERY,
149,,SFIA,PCTR,
150,,SFIA,ANTC,
151,,MLBR,SSAN,
152,,MLBR,SBRN,
153,,MLBR,SFIA,
154,,MLBR,MLBR,
155,,MLBR,WDUB,
156,,MLBR,RICH,
157,,MLBR,DELN,
158,,MLBR,PLZA,
159,,MLBR,NBRK,
160,,MLBR,DBRK,
161,,MLBR,ASHB,
162,,MLBR,MCAR,
163,,MLBR,19TH,
164,,MLBR,12TH,
165,,MLBR,LAKE,
166,,MLBR,FTVL,
167,,MLBR,COLS,
168,,MLBR,SANL,
169,,MLBR,BAYF,
170,,MLBR,HAYW,
171,,MLBR,SHAY,
172,,MLBR,UCTY,
173,,MLBR,FRMT,
174,,MLBR,CAST,
175,,MLBR,DUBL,
176,,MLBR,PITT,
177,,MLBR,NCON,
178,,MLBR,COLM,
179,,MLBR,CONC,
180,,MLBR,PHIL,
181,,MLBR,WCRK,
182,,MLBR,LAFY,
183,,MLBR,ORIN,
184,,MLBR,ROCK,
185,,MLBR,WOAK,
186,,MLBR,EMBR,
187,,MLBR,MONT,
188,,MLBR,POWL,
189,,MLBR,CIVC,
190,,MLBR,16TH,
191,,MLBR,24TH,
192,,MLBR,GLEN,
193,,MLBR,BALB,
194,,MLBR,DALY,
195,,MLBR,OAKL,
196,,MLBR,WARM,
197,,MLBR,MLPT,
198,,MLBR,BERY,
199,,MLBR,PCTR,
200,,MLBR,ANTC,
201,,WDUB,SSAN,
202,,WDUB,SBRN,
203,,WDUB,SFIA,
204,,WDUB,MLBR,
205,,WDUB,WDUB,
206,,WDUB,RICH,
207,,WDUB,DELN,
208,,WDUB,PLZA,
209,,WDUB,NBRK,
210,,WDUB,DBRK,
211,,WDUB,ASHB,
212,,WDUB,MCAR,
213,,WDUB,19TH,
214,,WDUB,12TH,
215,,WDUB,LAKE,
216,,WDUB,FTVL,
217,,WDUB,COLS,
218,,WDUB,SANL,
219,,WDUB,BAYF,
220,,WDUB,HAYW,
221,,WDUB,SHAY,
222,,WDUB,UCTY,
223,,WDUB,FRMT,
224,,WDUB,CAST,
225,,WDUB,DUBL,
226,,WDUB,PITT,
227,,WDUB,NCON,
228,,WDUB,COLM,
229,,WDUB,CONC,
230,,WDUB,PHIL,
231,,WDUB,WCRK,
232,,WDUB,LAFY,
233,,WDUB,ORIN,
234,,WDUB,ROCK,
235,,WDUB,WOAK,
236,,WDUB,EMBR,
237,,WDUB,MONT,
238,,WDUB,POWL,
239,,WDUB,CIVC,
240,,WDUB,16TH,
241,,WDUB,24TH,
242,,WDUB,GLEN,
243,,WDUB,BALB,
244,,WDUB,DALY,
245,,WDUB,OAKL,
246,,WDUB,WARM,
247,,WDUB,MLPT,
248,,WDUB,BERY,
249,,WDUB,PCTR,
250,,WDUB,ANTC,
251,,RICH,SSAN,
252,,RICH,SBRN,
253,,RICH,SFIA,
254,,RICH,MLBR,
255,,RICH,WDUB,
256,,RICH,RICH,
257,,RICH,DELN,
258,,RICH,PLZA,
259,,RICH,NBRK,
260,,RICH,DBRK,
261,,RICH,ASHB,
262,,RICH,MCAR,
263,,RICH,19TH,
264,,RICH,12TH,
265,,RICH,LAKE,
