route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,Yellow-S,"Antioch to SFIA/Millbrae",,1,http://www.bart.gov/schedules/bylineresults?route=1,FFFF33,000000
2,Yellow-N,"Millbrae/SFIA to Antioch",,1,http://www.bart.gov/schedules/bylineresults?route=2,FFFF33,000000
3,Orange-N,"Berryessa/North San Jose to Richmond",,1,http://www.bart.gov/schedules/bylineresults?route=3,FF9933,000000
4,Orange-S,"Richmond to Berryessa/North San Jose",,1,http://www.bart.gov/schedules/bylineresults?route=4,FF9933,000000
5,Green-S,"Berryessa/North San Jose to Daly City",,1,http://www.bart.gov/schedules/bylineresults?route=5,339933,FFFFFF
6,Green-N,"Daly City to Berryessa/North San Jose",,1,http://www.bart.gov/schedules/bylineresults?route=6,339933,FFFFFF
7,Red-S,"Richmond to Daly City/Millbrae",,1,http://www.bart.gov/schedules/bylineresults?route=7,FF0000,FFFFFF
8,Red-N,"Millbrae/Daly City to Richmond",,1,http://www.bart.gov/schedules/bylineresults?route=8,FF0000,FFFFFF
11,Blue-S,"Dublin/Pleasanton to Daly City",,1,http://www.bart.gov/schedules/bylineresults?route=11,0099CC,FFFFFF
12,Blue-N,"Daly City to Dublin/Pleasanton",,1,http://www.bart.gov/schedules/bylineresults?route=12,0099CC,FFFFFF
19,Beige-N,"Oakland Airport to Coliseum",,1,http://www.bart.gov/schedules/bylineresults?route=19,D5CFA3,000000
20,Beige-S,"Coliseum to Oakland Airport",,1,http://www.bart.gov/schedules/bylineresults?route=20,D5CFA3,000000
