stop_id,stop_name,stop_lat,stop_lon,route_short_name,route_id,route_color,route_text_color,stop_sequence
BERY,Berryessa / North San Jose,37.368473,-121.874681,Green-S,5,339933,FFFFFF,0
MLPT,Milpitas,37.410277,-121.891081,Green-S,5,339933,FFFFFF,1
WARM,Warm Springs / South Fremont,37.502285,-121.939395,Green-S,5,339933,FFFFFF,2
FRMT,Fremont,37.557480,-121.976619,Green-S,5,339933,FFFFFF,3
UCTY,Union City,37.590735,-122.017248,Green-S,5,339933,FFFFFF,4
SHAY,South Hayward,37.634340,-122.057182,Green-S,5,339933,FFFFFF,6
HAYW,Hayward,37.669699,-122.086958,Green-S,5,339933,FFFFFF,7
BAYF,Bay Fair,37.696908,-122.126446,Green-S,5,339933,FFFFFF,8
SANL,San Leandro,37.721784,-122.160740,Green-S,5,339933,FFFFFF,9
COLS,Coliseum,37.753576,-122.196716,Green-S,5,339933,FFFFFF,10
FTVL,Fruitvale,37.774841,-122.224081,Green-S,5,339933,FFFFFF,11
LAKE,Lake Merritt,37.797322,-122.265247,Green-S,5,339933,FFFFFF,12
WOAK,West Oakland,37.804888,-122.295151,Green-S,5,339933,FFFFFF,13
EMBR,Embarcadero,37.792762,-122.397037,Green-S,5,339933,FFFFFF,14
MONT,Montgomery Street,37.789173,-122.401587,Green-S,5,339933,FFFFFF,15
POWL,Powell Street,37.784606,-122.407331,Green-S,5,339933,FFFFFF,16
CIVC,Civic Center / UN Plaza,37.779408,-122.413826,Green-S,5,339933,FFFFFF,17
16TH,16th Street / Mission,37.765173,-122.419704,Green-S,5,339933,FFFFFF,18
24TH,24th Street / Mission,37.752419,-122.418468,Green-S,5,339933,FFFFFF,19
GLEN,Glen Park,37.733235,-122.433515,Green-S,5,339933,FFFFFF,20
BALB,Balboa Park,37.721747,-122.447457,Green-S,5,339933,FFFFFF,21
DALY,Daly City,37.706259,-122.468908,Green-S,5,339933,FFFFFF,22
DALY,Daly City,37.706259,-122.468908,Green-N,6,339933,FFFFFF,0
BALB,Balboa Park,37.721747,-122.447457,Green-N,6,339933,FFFFFF,1
GLEN,Glen Park,37.733235,-122.433515,Green-N,6,339933,FFFFFF,2
24TH,24th Street / Mission,37.752419,-122.418468,Green-N,6,339933,FFFFFF,3
16TH,16th Street / Mission,37.765173,-122.419704,Green-N,6,339933,FFFFFF,4
CIVC,Civic Center / UN Plaza,37.779408,-122.413826,Green-N,6,339933,FFFFFF,5
POWL,Powell Street,37.784606,-122.407331,Green-N,6,339933,FFFFFF,6
MONT,Montgomery Street,37.789173,-122.401587,Green-N,6,339933,FFFFFF,7
EMBR,Embarcadero,37.792762,-122.397037,Green-N,6,339933,FFFFFF,8
WOAK,West Oakland,37.804888,-122.295151,Green-N,6,339933,FFFFFF,9
LAKE,Lake Merritt,37.797322,-122.265247,Green-N,6,339933,FFFFFF,10
FTVL,Fruitvale,37.774841,-122.224081,Green-N,6,339933,FFFFFF,11
COLS,Coliseum,37.753576,-122.196716,Green-N,6,339933,FFFFFF,12
SANL,San Leandro,37.721784,-122.160740,Green-N,6,339933,FFFFFF,13
BAYF,Bay Fair,37.696908,-122.126446,Green-N,6,339933,FFFFFF,14
