route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
5,2022_02_14-DX-MVS-Weekday-02,1001860,Daly City,1,,1001860_shp,,1,1
6,2022_02_14-DX-MVS-Weekday-02,1001614,Berryessa/North San Jose,0,,1001614_shp,,1,1
5,2022_02_14-DX-MVS-Weekday-02,1009562,Daly City,1,,1009562_shp,,1,1
6,2022_02_14-DX-MVS-Weekday-02,1009530,Berryessa/North San Jose,0,,1009530_shp,,1,1
5,2022_02_14-DX-MVS-Weekday-02,1001808,Daly City,1,,1001860_shp,,1,1
6,2022_02_14-DX-MVS-Weekday-02,1001626,Berryessa/North San Jose,0,,1009530_shp,,1,1
5,2022_02_14-DX-MVS-Weekday-02,1001809,Daly City,1,,1001860_shp,,1,1
6,2022_02_14-DX-MVS-Weekday-02,1001625,Berryessa/North San Jose,0,,1009530_shp,,1,1
5,2022_02_14-DX-MVS-Weekday-02,1001810,Daly City,1,,1001860_shp,,1,1
6,2022_02_14-DX-MVS-Weekday-02,1001628,Berryessa/North San Jose,0,,1009530_shp,,1,1
5,2022_02_14-DX-MVS-Weekday-02,1001811,Daly City,1,,1001860_shp,,1,1
6,2022_02_14-DX-MVS-Weekday-02,1001627,Berryessa/North San Jose,0,,1009530_shp,,1,1
5,2022_02_14-DX-MVS-Weekday-02,1001812,Daly City,1,,1001860_shp,,1,1
6,2022_02_14-DX-MVS-Weekday-02,1001633,Berryessa/North San Jose,0,,1009530_shp,,1,1
5,2022_02_14-DX-MVS-Weekday-02,1001813,Daly City,1,,1001860_shp,,1,1
6,2022_02_14-DX-MVS-Weekday-02,1001629,Berryessa/North San Jose,0,,1009530_shp,,1,1
5,2022_02_14-DX-MVS-Weekday-02,1001814,Daly City,1,,1001860_shp,,1,1
6,2022_02_14-DX-MVS-Weekday-02,1001622,Berryessa/North San Jose,0,,1009530_shp,,1,1
5,2022_02_14-DX-MVS-Weekday-02,1001815,Daly City,1,,1001860_shp,,1,1
6,2022_02_14-DX-MVS-Weekday-02,1001615,Berryessa/North San Jose,0,,1009530_shp,,1,1
5,2022_02_14-DX-MVS-Weekday-02,1001816,Daly City,1,,1001860_shp,,1,1
6,2022_02_14-DX-MVS-Weekday-02,1001618,Berryessa/North San Jose,0,,1009530_shp,,1,1
5,2022_02_14-DX-MVS-Weekday-02,1001817,Daly City,1,,1001860_shp,,1,1
6,2022_02_14-DX-MVS-Weekday-02,1001617,Berryessa/North San Jose,0,,1009530_shp,,1,1
5,2022_02_14-DX-MVS-Weekday-02,1001818,Daly City,1,,1001860_shp,,1,1
6,2022_02_14-DX-MVS-Weekday-02,1001632,Berryessa/North San Jose,0,,1009530_shp,,1,1
5,2022_02_14-DX-MVS-Weekday-02,1001819,Daly City,1,,1001860_shp,,1,1
6,2022_02_14-DX-MVS-Weekday-02,1001624,Berryessa/North San Jose,0,,1009530_shp,,1,1
