trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_dropoff_window,end_pickup_dropoff_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
221,07:12:00,07:12:00,70271,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
221,07:19:00,07:19:00,70261,2,,0,0,2898.26431637197,1,,,,,1,1,,,,,,,,,,,
221,07:25:00,07:25:00,70241,3,,0,0,7055.196573615,1,,,,,1,1,,,,,,,,,,,
221,07:31:00,07:31:00,70231,4,,0,0,12942.9037995525,1,,,,,1,1,,,,,,,,,,,
221,07:35:00,07:35:00,70221,5,,0,0,16130.7439787489,1,,,,,1,1,,,,,,,,,,,
221,07:40:00,07:40:00,70211,6,,0,0,20441.5574996149,1,,,,,1,1,,,,,,,,,,,
221,07:43:00,07:43:00,70201,7,,0,0,23549.0482704972,1,,,,,1,1,,,,,,,,,,,
221,07:48:00,07:48:00,70191,8,,0,0,27489.6035877303,1,,,,,1,1,,,,,,,,,,,
221,07:52:00,07:52:00,70171,9,,0,0,30037.5499071783,1,,,,,1,1,,,,,,,,,,,
221,07:55:00,07:55:00,70161,10,,0,0,32053.0413461094,1,,,,,1,1,,,,,,,,,,,
221,08:01:00,08:01:00,70141,11,,0,0,37656.5615596196,1,,,,,1,1,,,,,,,,,,,
221,08:05:00,08:05:00,70131,12,,0,0,41151.0961900242,1,,,,,1,1,,,,,,,,,,,
221,08:09:00,08:09:00,70121,13,,0,0,43136.6165744226,1,,,,,1,1,,,,,,,,,,,
221,08:12:00,08:12:00,70111,14,,0,0,46473.2475824428,1,,,,,1,1,,,,,,,,,,,
221,08:15:00,08:15:00,70101,15,,0,0,47820.7569977154,1,,,,,1,1,,,,,,,,,,,
221,08:19:00,08:19:00,70091,16,,0,0,49958.4860954787,1,,,,,1,1,,,,,,,,,,,
221,08:22:00,08:22:00,70081,17,,0,0,52282.9029496548,1,,,,,1,1,,,,,,,,,,,
221,08:25:00,08:25:00,70071,18,,0,0,54055.9564889798,1,,,,,1,1,,,,,,,,,,,
221,08:29:00,08:29:00,70061,19,,0,0,56602.0267178837,1,,,,,1,1,,,,,,,,,,,
221,08:34:00,08:34:00,70051,20,,0,0,60754.4935126552,1,,,,,1,1,,,,,,,,,,,
221,08:38:00,08:38:00,70041,21,,0,0,63723.3951162826,1,,,,,1,1,,,,,,,,,,,
221,08:44:00,08:44:00,70031,22,,0,0,70398.5794852973,1,,,,,1,1,,,,,,,,,,,
