stop_id,stop_name,stop_lat,stop_lon,route_short_name,route_id,route_color,route_text_color,stop_sequence
15314,Indiana & 35th Street,41.83131644,-87.62167682,1,1,565a5c,ffffff,1
1560,Indiana & 34th Street,41.832975,-87.621707,1,1,565a5c,ffffff,2
16119,Indiana & 33rd Boulevard,41.8349486,-87.62175239,1,1,565a5c,ffffff,3
1562,Indiana & 32nd Street,41.83643,-87.621758,1,1,565a5c,ffffff,4
1563,Indiana & 31st Street,41.838248,-87.621825,1,1,565a5c,ffffff,5
1564,3000 S Michigan,41.840602,-87.623115,1,1,565a5c,ffffff,6
1565,Michigan & 29th Street,41.841882,-87.62324,1,1,565a5c,ffffff,7
1566,Michigan & 28th Street,41.84363,-87.623248,1,1,565a5c,ffffff,8
1567,Michigan & 26th Street,41.84588766,-87.62332019,1,1,565a5c,ffffff,9
1568,Michigan & 25th Street,41.847313,-87.6235,1,1,565a5c,ffffff,10
15313,Michigan & 24th Street,41.84946141,-87.62360265,1,1,565a5c,ffffff,11
1570,Michigan & 23rd Street,41.85114934,-87.62358591,1,1,565a5c,ffffff,12
15312,Michigan & Cermak,41.85318625,-87.62370873,1,1,565a5c,ffffff,13
1573,Michigan & 21st Street,41.85452045,-87.62374128,1,1,565a5c,ffffff,14
1574,Michigan & Cullerton,41.85571036,-87.62377044,1,1,565a5c,ffffff,15
1575,Michigan & 18th Street,41.85812678,-87.6238274,1,1,565a5c,ffffff,16
14760,Michigan & 16th Street,41.86050195,-87.62388008,1,1,565a5c,ffffff,17
18318,Michigan & 14th Street,41.86450771,-87.62395931,1,1,565a5c,ffffff,18
1579,Michigan & 13th Street,41.86598373,-87.6239989,1,1,565a5c,ffffff,19
1580,Michigan & Roosevelt,41.86789271,-87.6239641,1,1,565a5c,ffffff,20
1581,Michigan & 11th Street,41.86914471,-87.6239645,1,1,565a5c,ffffff,21
1582,Michigan & 9th Street,41.87050264,-87.62400635,1,1,565a5c,ffffff,22
1583,Michigan & 8th Street,41.87178684,-87.624034,1,1,565a5c,ffffff,23
1584,Michigan & Balbo,41.873395,-87.624082,1,1,565a5c,ffffff,24
14485,Michigan & Ida B Wells Drive,41.8755402,-87.6241263,1,1,565a5c,ffffff,25
75,Michigan & Van Buren,41.87669,-87.62416,1,1,565a5c,ffffff,26
77,Adams & Wabash,41.879575,-87.625884,1,1,565a5c,ffffff,27
4732,Adams & State,41.87950874,-87.6281053,1,1,565a5c,ffffff,28
17046,Adams & Clark,41.87947219,-87.6311045,1,1,565a5c,ffffff,29
80,Adams & Wells,41.879426,-87.634024,1,1,565a5c,ffffff,30
1108,Adams & S. Wacker,41.8794,-87.636542,1,1,565a5c,ffffff,31
12713,Adams & Canal,41.879358,-87.639401,1,1,565a5c,ffffff,32
67,Jackson & Canal,41.877997,-87.639776,1,1,565a5c,ffffff,33
12252,Avenue C & 112th Street,41.69191557,-87.52710433,100,100,b71234,ffffff,1
12253,112th Street & Avenue B,41.69170776,-87.52594856,100,100,b71234,ffffff,2
12254,Avenue B & 111th Street,41.69355511,-87.52574875,100,100,b71234,ffffff,3
12255,Avenue B & 110th Street,41.6953105,-87.5257097,100,100,b71234,ffffff,4
12256,Avenue B & 109th Street,41.6971105,-87.52570971,100,100,b71234,ffffff,5
12257,Avenue B & 108th Street,41.6989115,-87.52570872,100,100,b71234,ffffff,6
12258,Avenue B & 107th Street,41.70079426,-87.52569948,100,100,b71234,ffffff,7
12259,106th Street & Avenue B,41.70278753,-87.52661153,100,100,b71234,ffffff,8
12260,106th Street & Avenue D,41.70277166,-87.52829283,100,100,b71234,ffffff,9
12261,106th Street & Avenue F,41.70277418,-87.53035522,100,100,b71234,ffffff,10
12263,106th Street & Avenue H,41.70279301,-87.53277539,100,100,b71234,ffffff,11
15032,106th Street & Ewing,41.70279708,-87.53556637,100,100,b71234,ffffff,12
15240,106th Street & Avenue M,41.70281029,-87.53757092,100,100,b71234,ffffff,13
12267,106th Street & Avenue O,41.70281547,-87.53999099,100,100,b71234,ffffff,14
12269,106th Street & Mackinaw,41.70285059,-87.54242196,100,100,b71234,ffffff,15
12271,3033 E 106th Street,41.70284261,-87.5485546,100,100,b71234,ffffff,16
12272,106th Street & Muskegon,41.70284488,-87.554664,100,100,b71234,ffffff,17
12273,2800 E 106th Street,41.70284888,-87.55613199,100,100,b71234,ffffff,18
12275,106th Street & Torrence,41.70284687,-87.55936199,100,100,b71234,ffffff,19
6989,Torrence & 105th Street,41.70450235,-87.55952355,100,100,b71234,ffffff,20
