stop_id,stop_name,stop_lat,stop_lon,route_short_name,route_id,route_color,route_text_color,stop_sequence
30174,Howard,42.019063,-87.672892,Red,Red,C60C30,FFFFFF,1
30228,Jarvis,42.015876,-87.669092,Red,Red,C60C30,FFFFFF,2
30021,Morse,42.008362,-87.665909,Red,Red,C60C30,FFFFFF,3
30252,Loyola,42.001073,-87.661061,Red,Red,C60C30,FFFFFF,4
30148,Granville,41.993664,-87.659202,Red,Red,C60C30,FFFFFF,5
30170,Thorndale,41.990259,-87.659076,Red,Red,C60C30,FFFFFF,6
30268,Bryn Mawr,41.983504,-87.65884,Red,Red,C60C30,FFFFFF,7
30230,Argyle,41.973453,-87.65853,Red,Red,C60C30,FFFFFF,8
30106,Wilson-South Inner,41.964273,-87.657588,Red,Red,C60C30,FFFFFF,9
30017,Sheridan,41.953775,-87.654929,Red,Red,C60C30,FFFFFF,10
30274,Addison-Red,41.947428,-87.653626,Red,Red,C60C30,FFFFFF,11
30256,Belmont,41.939751,-87.65338,Red,Red,C60C30,FFFFFF,12
30234,Fullerton,41.925051,-87.652866,Red,Red,C60C30,FFFFFF,13
30126,North/Clybourn,41.910655,-87.649177,Red,Red,C60C30,FFFFFF,14
30122,Clark/Division,41.90392,-87.631412,Red,Red,C60C30,FFFFFF,15
30280,Chicago-Red,41.896671,-87.628176,Red,Red,C60C30,FFFFFF,16
30065,Grand-Red,41.891665,-87.628021,Red,Red,C60C30,FFFFFF,17
30290,Lake,41.884809,-87.627813,Red,Red,C60C30,FFFFFF,18
30212,Monroe-Red,41.880745,-87.627696,Red,Red,C60C30,FFFFFF,19
30110,Jackson-Red,41.878153,-87.627596,Red,Red,C60C30,FFFFFF,20
30286,Harrison,41.874039,-87.627479,Red,Red,C60C30,FFFFFF,21
30270,Roosevelt (Subway),41.867368,-87.627402,Red,Red,C60C30,FFFFFF,22
30194,Cermak-Chinatown,41.853206,-87.630968,Red,Red,C60C30,FFFFFF,23
30037,Sox-35th,41.831191,-87.630636,Red,Red,C60C30,FFFFFF,24
30238,47th-Red,41.810318,-87.63094,Red,Red,C60C30,FFFFFF,25
30224,Garfield-Red,41.79542,-87.631157,Red,Red,C60C30,FFFFFF,26
30178,63rd,41.780536,-87.630952,Red,Red,C60C30,FFFFFF,27
30192,69th,41.768367,-87.625724,Red,Red,C60C30,FFFFFF,28
30047,79th,41.750419,-87.625112,Red,Red,C60C30,FFFFFF,29
30276,87th,41.735372,-87.624717,Red,Red,C60C30,FFFFFF,30
30089,95th,41.722377,-87.624342,Red,Red,C60C30,FFFFFF,31
30113,54th/Cermak,41.85177331,-87.75669201,Pink,Pink,E27EA6,FFFFFF,1
30082,Cicero-Cermak,41.85182,-87.745336,Pink,Pink,E27EA6,FFFFFF,2
30117,Kostner,41.853751,-87.733258,Pink,Pink,E27EA6,FFFFFF,3
30028,Pulaski-Cermak,41.853732,-87.724311,Pink,Pink,E27EA6,FFFFFF,4
30151,Central Park,41.853839,-87.714842,Pink,Pink,E27EA6,FFFFFF,5
30201,Kedzie-Cermak,41.853964,-87.705408,Pink,Pink,E27EA6,FFFFFF,6
30086,California-Cermak,41.854109,-87.694774,Pink,Pink,E27EA6,FFFFFF,7
30143,Western-Cermak,41.854225,-87.685129,Pink,Pink,E27EA6,FFFFFF,8
30040,Damen-Cermak,41.854517,-87.675975,Pink,Pink,E27EA6,FFFFFF,9
30161,18th,41.857908,-87.669147,Pink,Pink,E27EA6,FFFFFF,10
30199,Polk,41.871551,-87.66953,Pink,Pink,E27EA6,FFFFFF,11
30032,Ashland-Lake,41.885269,-87.666969,Pink,Pink,E27EA6,FFFFFF,12
30295,Morgan,41.88557676,-87.65212993,Pink,Pink,E27EA6,FFFFFF,13
30221,Clinton-Green,41.885678,-87.641782,Pink,Pink,E27EA6,FFFFFF,14
30074,Clark/Lake (Elevated),41.885737,-87.630886,Pink,Pink,E27EA6,FFFFFF,15
30050,State/Lake,41.88574,-87.627835,Pink,Pink,E27EA6,FFFFFF,16
30384,Washington/Wabash,41.88322,-87.626189,Pink,Pink,E27EA6,FFFFFF,17
30132,Adams/Wabash,41.879507,-87.626037,Pink,Pink,E27EA6,FFFFFF,18
30166,Harold Washington Library,41.876862,-87.628196,Pink,Pink,E27EA6,FFFFFF,19
30031,LaSalle/Van Buren,41.8768,-87.631739,Pink,Pink,E27EA6,FFFFFF,20
30007,Quincy,41.878723,-87.63374,Pink,Pink,E27EA6,FFFFFF,21
30141,Washington/Wells,41.882695,-87.63378,Pink,Pink,E27EA6,FFFFFF,22
30222,Clinton-Green,41.885678,-87.641782,Pink,Pink,E27EA6,FFFFFF,23
30296,Morgan,41.88557676,-87.65212993,Pink,Pink,E27EA6,FFFFFF,24
30033,Ashland-Lake,41.885269,-87.666969,Pink,Pink,E27EA6,FFFFFF,25
30200,Polk,41.871551,-87.66953,Pink,Pink,E27EA6,FFFFFF,26
30162,18th,41.857908,-87.669147,Pink,Pink,E27EA6,FFFFFF,27
30041,Damen-Cermak,41.854517,-87.675975,Pink,Pink,E27EA6,FFFFFF,28
30144,Western-Cermak,41.854225,-87.685129,Pink,Pink,E27EA6,FFFFFF,29
30087,California-Cermak,41.854109,-87.694774,Pink,Pink,E27EA6,FFFFFF,30
30202,Kedzie-Cermak,41.853964,-87.705408,Pink,Pink,E27EA6,FFFFFF,31
30152,Central Park,41.853839,-87.714842,Pink,Pink,E27EA6,FFFFFF,32
30029,Pulaski-Cermak,41.853732,-87.724311,Pink,Pink,E27EA6,FFFFFF,33
30118,Kostner,41.853751,-87.733258,Pink,Pink,E27EA6,FFFFFF,34
30083,Cicero-Cermak,41.85182,-87.745336,Pink,Pink,E27EA6,FFFFFF,35
30114,54th/Cermak,41.85177331,-87.75669201,Pink,Pink,E27EA6,FFFFFF,36
30204,Linden,42.073153,-87.69073,Purple,Purple,522398,FFFFFF,1
30242,Central-Purple,42.063987,-87.685617,Purple,Purple,522398,FFFFFF,2
30079,Noyes,42.058282,-87.683337,Purple,Purple,522398,FFFFFF,3
30102,Foster,42.05416,-87.68356,Purple,Purple,522398,FFFFFF,4
30011,Davis,42.04771,-87.683543,Purple,Purple,522398,FFFFFF,5
30134,Dempster,42.041655,-87.681602,Purple,Purple,522398,FFFFFF,6
30053,Main,42.033456,-87.679538,Purple,Purple,522398,FFFFFF,7
30164,South Boulevard,42.027612,-87.678329,Purple,Purple,522398,FFFFFF,8
30176,Howard,42.019063,-87.672892,Purple,Purple,522398,FFFFFF,9
30181,Midway,41.78661,-87.737875,Orange,Orange,F9461C,FFFFFF,1
30185,Pulaski-Orange,41.799756,-87.724493,Orange,Orange,F9461C,FFFFFF,2
30219,Kedzie-Orange,41.804236,-87.704406,Orange,Orange,F9461C,FFFFFF,3
30060,Western-Orange,41.804546,-87.684019,Orange,Orange,F9461C,FFFFFF,4
30022,35th/Archer,41.829353,-87.680622,Orange,Orange,F9461C,FFFFFF,5
30205,Ashland-Orange,41.839234,-87.665317,Orange,Orange,F9461C,FFFFFF,6
30215,Halsted-Orange,41.84678,-87.648088,Orange,Orange,F9461C,FFFFFF,7
30080,Roosevelt (Elevated),41.867405,-87.62659,Orange,Orange,F9461C,FFFFFF,8
30166,Harold Washington Library,41.876862,-87.628196,Orange,Orange,F9461C,FFFFFF,9
30031,LaSalle/Van Buren,41.8768,-87.631739,Orange,Orange,F9461C,FFFFFF,10
30007,Quincy,41.878723,-87.63374,Orange,Orange,F9461C,FFFFFF,11
30141,Washington/Wells,41.882695,-87.63378,Orange,Orange,F9461C,FFFFFF,12
30074,Clark/Lake (Elevated),41.885737,-87.630886,Orange,Orange,F9461C,FFFFFF,13
30050,State/Lake,41.88574,-87.627835,Orange,Orange,F9461C,FFFFFF,14
30384,Washington/Wabash,41.88322,-87.626189,Orange,Orange,F9461C,FFFFFF,15
30132,Adams/Wabash,41.879507,-87.626037,Orange,Orange,F9461C,FFFFFF,16
30081,Roosevelt (Elevated),41.867405,-87.62659,Orange,Orange,F9461C,FFFFFF,17
30216,Halsted-Orange,41.84678,-87.648088,Orange,Orange,F9461C,FFFFFF,18
30206,Ashland-Orange,41.839234,-87.665317,Orange,Orange,F9461C,FFFFFF,19
30023,35th/Archer,41.829353,-87.680622,Orange,Orange,F9461C,FFFFFF,20
30061,Western-Orange,41.804546,-87.684019,Orange,Orange,F9461C,FFFFFF,21
30220,Kedzie-Orange,41.804236,-87.704406,Orange,Orange,F9461C,FFFFFF,22
30186,Pulaski-Orange,41.799756,-87.724493,Orange,Orange,F9461C,FFFFFF,23
30182,Midway,41.78661,-87.737875,Orange,Orange,F9461C,FFFFFF,24
30003,Harlem-Green,41.886848,-87.803176,Green,Green,009B3A,FFFFFF,1
30263,Oak Park-Green,41.886988,-87.793783,Green,Green,009B3A,FFFFFF,2
30119,Ridgeland,41.887159,-87.783661,Green,Green,009B3A,FFFFFF,3
30243,Austin-Green,41.887293,-87.774135,Green,Green,009B3A,FFFFFF,4
30054,Central-Green,41.887389,-87.76565,Green,Green,009B3A,FFFFFF,5
30135,Laramie,41.887163,-87.754986,Green,Green,009B3A,FFFFFF,6
30094,Cicero-Green,41.886519,-87.744698,Green,Green,009B3A,FFFFFF,7
30005,Pulaski-Green,41.885412,-87.725404,Green,Green,009B3A,FFFFFF,8
30291,Conservatory,41.884904,-87.716523,Green,Green,009B3A,FFFFFF,9
30207,Kedzie-Green,41.884321,-87.706155,Green,Green,009B3A,FFFFFF,10
30265,California-Green,41.88422,-87.696234,Green,Green,009B3A,FFFFFF,11
30032,Ashland-Lake,41.885269,-87.666969,Green,Green,009B3A,FFFFFF,12
30295,Morgan,41.88557676,-87.65212993,Green,Green,009B3A,FFFFFF,13
30221,Clinton-Green,41.885678,-87.641782,Green,Green,009B3A,FFFFFF,14
30074,Clark/Lake (Elevated),41.885737,-87.630886,Green,Green,009B3A,FFFFFF,15
30050,State/Lake,41.88574,-87.627835,Green,Green,009B3A,FFFFFF,16
30384,Washington/Wabash,41.88322,-87.626189,Green,Green,009B3A,FFFFFF,17
30132,Adams/Wabash,41.879507,-87.626037,Green,Green,009B3A,FFFFFF,18
30081,Roosevelt (Elevated),41.867405,-87.62659,Green,Green,009B3A,FFFFFF,19
30382,Cermak-McCormick Place,41.853115,-87.626402,Green,Green,009B3A,FFFFFF,20
30214,35-Bronzeville-IIT,41.831677,-87.625826,Green,Green,009B3A,FFFFFF,21
30059,Indiana,41.821732,-87.621371,Green,Green,009B3A,FFFFFF,22
30246,43rd,41.816462,-87.619021,Green,Green,009B3A,FFFFFF,23
