route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
"100279","KCM","84","","Downtown Seattle to Madison Park to Madrona",3,"http://metro.kingcounty.gov/schedules/084/n0.html",,
"100026","KCM","128","","Southcenter/S Seattle Coll/Alaska Junc/Admirl Dist",3,"http://metro.kingcounty.gov/schedules/128/n0.html",,
"100089","KCM","2","","W QA - Downtown - Madrona Pk",3,"http://metro.kingcounty.gov/schedules/002/n0.html",,
"100133","KCM","240","","Bellevue TC to Renton TC",3,"http://metro.kingcounty.gov/schedules/240/n0.html",,
"100277","KCM","82","","Downtown Seattle to Queen Anne to Green Lake to Gr",3,"http://metro.kingcounty.gov/schedules/082/n0.html",,
"100003","KCM","101","","Renton TC to Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/101/n0.html",,
"100077","KCM","186","","Enumclaw - Griffin Wells to Auburn Station",3,"http://metro.kingcounty.gov/schedules/186/n0.html",,
"100210","KCM","36","","Othello Stn - Beacon Hill - Downtown Sea",3,"http://metro.kingcounty.gov/schedules/036/n0.html",,
"100160","KCM","269","","Issaquah TC to Overlake P&R",3,"http://metro.kingcounty.gov/schedules/269/n0.html",,
"100249","KCM","60","","Westwood Village to Georgetown to Broadway",3,"http://metro.kingcounty.gov/schedules/060/n0.html",,
"100062","KCM","17","","Loyal Heights to Sunset Hill to Ballard to Downtow",3,"http://metro.kingcounty.gov/schedules/017/n0.html",,
"100109","KCM","217","","Downtown Seattle to North Issaquah",3,"http://metro.kingcounty.gov/schedules/217/n0.html",,
"100178","KCM","304","","Richmond Beach to Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/304/n0.html",,
"100106","KCM","214","","Issaquah to Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/214/n0.html",,
"100174","KCM","30","","Sandpoint to University District",3,"http://metro.kingcounty.gov/schedules/030/n0.html",,
"100051","KCM","158","","Kent East Hill to Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/158/n0.html",,
