stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
"1500","","S JACKSON ST & 8TH AVE S","","47.5992546","-122.322327","21"
"1510","","S JACKSON ST & MAYNARD AVE S","","47.5992622","-122.325455","21"
"1530","","S JACKSON ST & 5TH AVE S","","47.5992661","-122.328384","21"
"1535","","S JACKSON ST & OCCIDENTAL AVE S","","47.5992699","-122.332436","21"
"1540","","JAMES ST & 5TH AVE","","47.603817","-122.329102","21"
"1550","","JAMES ST & 4TH AVE","","47.6030807","-122.330864","21"
"1560","","JAMES ST & 3RD AVE","","47.602932","-122.330826","21"
"1570","","JAMES ST & 5TH AVE","","47.6037865","-122.328789","21"
"1580","","MARION ST & 2ND AVE","","47.6045341","-122.334076","21"
"1590","","MARION ST & 4TH AVE","","47.6054611","-122.331863","21"
"1600","","6TH AVE & MARION ST","","47.6065712","-122.33017","21"
"1610","","PREFONTAINE PL S & YESLER WAY","","47.6017303","-122.330116","21"
"1619","","WESTLAKE AVE & VIRGINIA ST","","47.6148643","-122.33786","21"
"1630","","WESTLAKE AVE & OLIVE WAY","","47.6132812","-122.337547","21"
"1690","","3RD AVE & VINE ST","","47.6168709","-122.348297","21"
"1710","","TERRACE ST & 5TH AVE","","47.6021118","-122.328064","21"
"1888","","VASHON PASS FERRY & PIER 50","","47.6010742","-122.338943","1"
"1889","","VASHON PASS FERRY & PIER 50","","47.6012154","-122.338966","1"
"1890","","MARION ST & 1ST AVE","","47.6041451","-122.335022","21"
"1907","","WATER TAXI ROUTE & WATER TAXI ROUTE","","47.601181","-122.339012","21"
"1908","","WATER TAXI ROUTE & WATER TAXI ROUTE","","47.6010551","-122.338913","21"
"1920","","LENORA ST & 4TH AVE","","47.6139717","-122.341293","21"
"2010","","10TH AVE W & W FULTON ST","","47.6453514","-122.370277","21"
"2020","","10TH AVE W & W BOTHWELL ST","","47.643486","-122.370308","21"
"2030","","10TH AVE W & W HALLADAY ST","","47.6417923","-122.370171","21"
"2050","","10TH AVE W & W MCGRAW ST","","47.6394577","-122.370415","21"
"2060","","10TH AVE W & W CROCKETT ST","","47.6375885","-122.370438","21"
"2070","","10TH AVE W & W HOWE ST","","47.6357689","-122.370453","21"
"2080","","10TH AVE W & W BLAINE ST","","47.6345634","-122.370468","21"
"2090","","10TH AVE W & W GALER ST","","47.6323738","-122.370506","21"
"2100","","OLYMPIC WAY W & W LEE ST","","47.6310806","-122.370155","1"
"2110","","OLYMPIC WAY W & 9TH AVE W","","47.6294975","-122.368652","21"
"2120","","OLYMPIC WAY W & 7TH AVE W","","47.6276054","-122.366096","21"
"2130","","OLYMPIC WAY W & 5TH AVE W","","47.6266899","-122.36335","21"
"2140","","W OLYMPIC PL & 3RD AVE W","","47.6266594","-122.360306","21"
"2150","","W ROY ST & 2ND AVE W","","47.6256485","-122.358765","21"
"2180","","QUEEN ANNE AVE N & W HARRISON ST","","47.6218338","-122.356834","21"
"2199","","ELLIOT AVE & BROAD ST","","47.6153679","-122.354004","1"
"2200","","QUEEN ANNE AVE N & W JOHN ST","","47.6192131","-122.35685","21"
"2220","","3RD AVE & CEDAR ST","","47.6168709","-122.348625","21"
"2244","","DENNY WAY & 2ND AVE N","","47.6185226","-122.352188","1"
"2245","","DENNY WAY & 5TH AVE N","","47.6185036","-122.347878","21"
"2247","","DENNY WAY & 6TH AVE","","47.6184959","-122.345131","21"
"2250","","DENNY WAY & DEXTER AVE","","47.6184807","-122.342545","21"
"2255","","DENNY WAY & WESTLAKE AVE","","47.6184692","-122.338226","21"
"2261","","DENNY WAY & FAIRVIEW AVE N","","47.6184692","-122.333794","21"
"2262","","DENNY WAY & STEWART ST","","47.6184273","-122.330925","21"
"2265","","E DENNY WAY & E OLIVE WAY","","47.6184196","-122.325829","21"
"2275","","E DENNY WAY & BELLEVUE AVE E","","47.6185646","-122.326645","21"
