route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
"100448","SUNDAY","23114753","AVONDALE","LOCAL",0,"3888957","41248030"
"100448","SUNDAY","23114754","KIRKLAND TRANSIT CENTER, REDMOND TRANSIT CENTER","LOCAL",1,"3888957","30248018"
"100448","SUNDAY","23114755","AVONDALE","LOCAL",0,"3888957","41248030"
"100448","SUNDAY","23114756","KIRKLAND TRANSIT CENTER, REDMOND TRANSIT CENTER","LOCAL",1,"3888957","30248018"
"100130","SUNDAY","23114934","KIRKLAND, TOTEM LAKE","LOCAL",1,"3888957","20238061"
"100130","SUNDAY","23114941","KIRKLAND, TOTEM LAKE","LOCAL",1,"3888957","20238061"
"100130","SUNDAY","23114948","BOTHELL, TOTEM LAKE","LOCAL",0,"3888957","11238060"
"100126","SUNDAY","24212252","KENMORE, KIRKLAND","LOCAL",0,"3888958","11234081"
"100126","SUNDAY","24212253","BELLEVUE TRANSIT CENTER, KIRKLAND","LOCAL",1,"3888958","20234082"
"100126","SUNDAY","24212256","KENMORE, KIRKLAND","LOCAL",0,"3888958","11234081"
"100126","SUNDAY","24212257","BELLEVUE TRANSIT CENTER, KIRKLAND","LOCAL",1,"3888958","20234082"
"100126","SUNDAY","24212260","KENMORE, KIRKLAND","LOCAL",0,"3888958","11234081"
"100126","SUNDAY","24212261","BELLEVUE TRANSIT CENTER, KIRKLAND","LOCAL",1,"3888958","20234082"
"100126","SUNDAY","24212264","KENMORE, KIRKLAND","LOCAL",0,"3888958","11234081"
"100126","SUNDAY","24212269","KENMORE, KIRKLAND","LOCAL",0,"3888958","11234081"
"100126","SUNDAY","24212270","BELLEVUE TRANSIT CENTER, KIRKLAND","LOCAL",1,"3888958","20234082"
"100126","SUNDAY","24212272","KENMORE, KIRKLAND","LOCAL",0,"3888958","11234081"
"100126","SUNDAY","24212273","BELLEVUE TRANSIT CENTER, KIRKLAND","LOCAL",1,"3888958","20234082"
"100126","SUNDAY","24212274","BELLEVUE TRANSIT CENTER, KIRKLAND","LOCAL",1,"3888958","20234082"
"100126","SUNDAY","24212275","KENMORE, KIRKLAND","LOCAL",0,"3888958","11234081"
"100127","SUNDAY","23114869","BELLEVUE TRANSIT CENTER, KIRKLAND","LOCAL",1,"3888959","20235029"
"100127","SUNDAY","23114871","BELLEVUE TRANSIT CENTER, KIRKLAND","LOCAL",1,"3888959","20235029"
"100127","SUNDAY","23114873","BELLEVUE TRANSIT CENTER, KIRKLAND","LOCAL",1,"3888959","20235029"
"100127","SUNDAY","23114875","BELLEVUE TRANSIT CENTER, KIRKLAND","LOCAL",1,"3888959","20235029"
"100127","SUNDAY","23114878","BELLEVUE TRANSIT CENTER, KIRKLAND","LOCAL",1,"3888959","20235029"
"100127","SUNDAY","23114879","TOTEM LAKE, KIRKLAND","LOCAL",0,"3888959","11235028"
"100127","SUNDAY","23114881","TOTEM LAKE, KIRKLAND","LOCAL",0,"3888959","11235028"
"100127","SUNDAY","23114883","TOTEM LAKE, KIRKLAND","LOCAL",0,"3888959","11235028"
"100127","SUNDAY","23114885","TOTEM LAKE, KIRKLAND","LOCAL",0,"3888959","11235028"
"100127","SUNDAY","23114887","TOTEM LAKE, KIRKLAND","LOCAL",0,"3888959","11235028"
"100127","SUNDAY","23114889","TOTEM LAKE, KIRKLAND","LOCAL",0,"3888959","11235028"
"100127","SUNDAY","23114892","BELLEVUE TRANSIT CENTER, KIRKLAND","LOCAL",1,"3888959","20235029"
"100127","SUNDAY","23114893","BELLEVUE TRANSIT CENTER, KIRKLAND","LOCAL",1,"3888959","20235029"
"100127","SUNDAY","23114894","TOTEM LAKE, KIRKLAND","LOCAL",0,"3888959","11235028"
"100127","SUNDAY","23114895","BELLEVUE TRANSIT CENTER, KIRKLAND","LOCAL",1,"3888959","20235029"
"100127","SUNDAY","23114896","BELLEVUE TRANSIT CENTER, KIRKLAND","LOCAL",1,"3888959","20235029"
"100127","SUNDAY","23114924","TOTEM LAKE, KIRKLAND","LOCAL",0,"3888959","11235028"
"100127","SUNDAY","23114927","TOTEM LAKE, KIRKLAND","LOCAL",0,"3888959","11235028"
"100126","SUNDAY","24212251","BELLEVUE TRANSIT CENTER, KIRKLAND","LOCAL",1,"3888960","20234082"
"100126","SUNDAY","24212254","KENMORE, KIRKLAND","LOCAL",0,"3888960","11234081"
"100126","SUNDAY","24212255","BELLEVUE TRANSIT CENTER, KIRKLAND","LOCAL",1,"3888960","20234082"
"100126","SUNDAY","24212258","KENMORE, KIRKLAND","LOCAL",0,"3888960","11234081"
"100126","SUNDAY","24212259","BELLEVUE TRANSIT CENTER, KIRKLAND","LOCAL",1,"3888960","20234082"
"100126","SUNDAY","24212262","KENMORE, KIRKLAND","LOCAL",0,"3888960","11234081"
"100126","SUNDAY","24212263","BELLEVUE TRANSIT CENTER, KIRKLAND","LOCAL",1,"3888960","20234082"
"100126","SUNDAY","24212265","KENMORE, KIRKLAND","LOCAL",0,"3888960","11234081"
"100126","SUNDAY","24212266","BELLEVUE TRANSIT CENTER, KIRKLAND","LOCAL",1,"3888960","20234082"
"100126","SUNDAY","24212267","KENMORE, KIRKLAND","LOCAL",0,"3888960","11234081"
"100126","SUNDAY","24212268","BELLEVUE TRANSIT CENTER, KIRKLAND","LOCAL",1,"3888960","20234082"
"100126","SUNDAY","24212271","KENMORE, KIRKLAND","LOCAL",0,"3888960","11234081"
"100127","SUNDAY","23114868","BELLEVUE TRANSIT CENTER, KIRKLAND","LOCAL",1,"3888961","20235029"
"100127","SUNDAY","23114870","BELLEVUE TRANSIT CENTER, KIRKLAND","LOCAL",1,"3888961","20235029"
"100127","SUNDAY","23114872","BELLEVUE TRANSIT CENTER, KIRKLAND","LOCAL",1,"3888961","20235029"
"100127","SUNDAY","23114874","BELLEVUE TRANSIT CENTER, KIRKLAND","LOCAL",1,"3888961","20235029"
"100127","SUNDAY","23114876","BELLEVUE TRANSIT CENTER, KIRKLAND","LOCAL",1,"3888961","20235029"
"100127","SUNDAY","23114877","BELLEVUE TRANSIT CENTER, KIRKLAND","LOCAL",1,"3888961","20235029"
"100127","SUNDAY","23114880","TOTEM LAKE, KIRKLAND","LOCAL",0,"3888961","11235028"
"100127","SUNDAY","23114882","TOTEM LAKE, KIRKLAND","LOCAL",0,"3888961","11235028"
"100127","SUNDAY","23114884","TOTEM LAKE, KIRKLAND","LOCAL",0,"3888961","11235028"
"100127","SUNDAY","23114886","TOTEM LAKE, KIRKLAND","LOCAL",0,"3888961","11235028"
"100127","SUNDAY","23114888","TOTEM LAKE, KIRKLAND","LOCAL",0,"3888961","11235028"
"100127","SUNDAY","23114890","TOTEM LAKE, KIRKLAND","LOCAL",0,"3888961","11235028"
"100127","SUNDAY","23114891","TOTEM LAKE, KIRKLAND","LOCAL",0,"3888961","11235028"
"100127","SUNDAY","23114922","TOTEM LAKE, KIRKLAND","LOCAL",0,"3888961","11235028"
"100127","SUNDAY","23114923","BELLEVUE TRANSIT CENTER, KIRKLAND","LOCAL",1,"3888961","20235029"
"100127","SUNDAY","23114925","BELLEVUE TRANSIT CENTER, KIRKLAND","LOCAL",1,"3888961","20235029"
"100127","SUNDAY","23114926","BELLEVUE TRANSIT CENTER, KIRKLAND","LOCAL",1,"3888961","20235029"
"102554","SUNDAY","21651940","EASTGATE P&R, FACTORIA","LOCAL",1,"3888962","20241003"
"102554","SUNDAY","21651943","EASTGATE P&R, FACTORIA","LOCAL",1,"3888962","20241003"
"102554","SUNDAY","21651945","EASTGATE P&R, FACTORIA","LOCAL",1,"3888962","20241003"
"102552","SUNDAY","21651960","EASTGATE P&R, CROSSROADS","LOCAL",1,"3888962","40226434"
"102552","SUNDAY","21651963","EASTGATE P&R, CROSSROADS","LOCAL",1,"3888962","40226434"
