service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
RFEB22-801-1_Weekday-06,1,1,1,1,1,0,0,20220315,20220317
RFEB22-801-1_Weekday-11,1,1,1,1,1,0,0,20220318,20220318
RFEB22-801-2_Saturday-04,0,0,0,0,0,1,0,20220319,20220319
RFEB22-801-3_Sunday-90,0,0,0,0,0,0,1,20220320,20220327
RFEB22-801-1_Weekday-90,1,1,1,1,1,0,0,20220321,20220329
RFEB22-801-2_Saturday-90,0,0,0,0,0,1,0,20220326,20220326
RFEB22-804-1_Weekday-90,1,1,1,1,1,0,0,20220315,20220329
RFEB22-804-2_Saturday-03,0,0,0,0,0,1,0,20220319,20220319
RFEB22-804-3_Sunday-90,0,0,0,0,0,0,1,20220320,20220327
RFEB22-804-2_Saturday-90,0,0,0,0,0,1,0,20220326,20220326
RFEB22-803-1_Weekday-09,1,1,1,1,1,0,0,20220315,20220317
RFEB22-803-1_Weekday-90,1,1,1,1,1,0,0,20220318,20220329
RFEB22-803-2_Saturday-90,0,0,0,0,0,1,0,20220319,20220326
RFEB22-803-3_Sunday-90,0,0,0,0,0,0,1,20220320,20220327
RFEB22-802-1_Weekday-02,1,1,1,1,1,0,0,20220315,20220316
RFEB22-802-1_Weekday-05,1,1,1,1,1,0,0,20220317,20220317
RFEB22-802-1_Weekday-90,1,1,1,1,1,0,0,20220318,20220329
RFEB22-802-2_Saturday-03,0,0,0,0,0,1,0,20220319,20220319
RFEB22-802-3_Sunday-90,0,0,0,0,0,0,1,20220320,20220327
RFEB22-802-2_Saturday-90,0,0,0,0,0,1,0,20220326,20220326
