stop_id,stop_name,stop_lat,stop_lon,route_short_name,route_id,route_color,route_text_color,stop_sequence
80136,Expo / Bundy Station,34.031705,-118.452896,806,806,5BC2E7,0,1
80135,Expo / Sepulveda Station,34.035408,-118.434234,806,806,5BC2E7,0,2
80134,Westwood / Rancho Park Station,34.036816,-118.424576,806,806,5BC2E7,0,3
80133,Palms Station,34.029323,-118.404255,806,806,5BC2E7,0,4
80132,Culver City Station,34.027896,-118.388986,806,806,5BC2E7,0,5
80131,La Cienega / Jefferson Station,34.026355,-118.37212,806,806,5BC2E7,0,6
80130,Expo / La Brea / Ethel Bradley Station,34.024803,-118.355159,806,806,5BC2E7,0,7
80129,Farmdale Station,34.023981,-118.346095,806,806,5BC2E7,0,8
80128,Expo / Crenshaw Station,34.022526,-118.335078,806,806,5BC2E7,0,9
80127,Expo / Western Station,34.018331,-118.30891,806,806,5BC2E7,0,10
80126,Expo / Vermont Station,34.018245,-118.29154,806,806,5BC2E7,0,11
80125,Expo Park / USC Station,34.018227,-118.285734,806,806,5BC2E7,0,12
80124,Jefferson / USC Station,34.022123,-118.278118,806,806,5BC2E7,0,13
80123,LATTC / Ortho Institute Station,34.029112,-118.273603,806,806,5BC2E7,0,14
80121,Pico Station,34.040735,-118.266118,806,806,5BC2E7,0,15
80122,7th Street / Metro Center Station - Metro A Line (Blue) & E Line (Expo),34.04861,-118.258822,806,806,5BC2E7,0,16
80101,Downtown Long Beach Station,33.768071,-118.192921,801,801,0072BC,FFFFFF,1
80102,Pacific Ave Station,33.772258,-118.1937,801,801,0072BC,FFFFFF,2
80105,Anaheim Street Station,33.78183,-118.189384,801,801,0072BC,FFFFFF,3
80106,Pacific Coast Hwy Station,33.78909,-118.189382,801,801,0072BC,FFFFFF,4
80107,Willow Street Station,33.807079,-118.189834,801,801,0072BC,FFFFFF,5
80108,Wardlow Station,33.819865,-118.19609,801,801,0072BC,FFFFFF,6
80109,Del Amo Station,33.848222,-118.211017,801,801,0072BC,FFFFFF,7
80110,Artesia Station,33.876082,-118.222503,801,801,0072BC,FFFFFF,8
80111,Compton Station,33.89749,-118.224249,801,801,0072BC,FFFFFF,9
80112,Willowbrook - Rosa Parks Station - Metro A Line (Blue),33.928048,-118.237555,801,801,0072BC,FFFFFF,10
80113,103rd Street / Watts Towers  Station,33.94222,-118.243159,801,801,0072BC,FFFFFF,11
80114,Firestone Station,33.959611,-118.243205,801,801,0072BC,FFFFFF,12
80115,Florence Station,33.97374,-118.243271,801,801,0072BC,FFFFFF,13
80116,Slauson Station,33.98876,-118.243398,801,801,0072BC,FFFFFF,14
80117,Vernon Station,34.00292,-118.243303,801,801,0072BC,FFFFFF,15
80118,Washington Station,34.01965,-118.243084,801,801,0072BC,FFFFFF,16
80119,San Pedro Street Station,34.026807,-118.255505,801,801,0072BC,FFFFFF,17
80120,Grand / LATTC Station,34.033155,-118.269333,801,801,0072BC,FFFFFF,18
80121,Pico Station,34.040735,-118.266118,801,801,0072BC,FFFFFF,19
80122,7th Street / Metro Center Station - Metro A Line (Blue) & E Line (Expo),34.04861,-118.258822,801,801,0072BC,FFFFFF,20
80214,Union Station - Metro Red & Purple Lines,34.056197,-118.234249,802,802,EB131B,FFFFFF,1
