stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,tpis_name
80101,80101,Downtown Long Beach Station,,33.768071,-118.192921,,0,80101S,Long Bch
80101S,80101S,Downtown Long Beach Station,,33.768071,-118.192921,,1,,
80101A,80101A,Downtown Long Beach Station - 1st & Pacific Entrance,,33.76805,-118.1935,,2,80101S,
80101B,80101B,Downtown Long Beach Station - 1st & Pine Entrance,,33.76804,-118.1925,,2,80101S,
80102,80102,Pacific Ave Station,,33.772258,-118.1937,,0,80102S,Pacific
80102S,80102S,Pacific Ave Station,,33.772258,-118.1937,,1,,
80102A,80102A,Pacific Ave Station - Pacific & 4th Entrance,,33.77186,-118.19373,,2,80102S,
80102B,80102B,Pacific Ave Station - Pacific & 5th Entrance,,33.77282,-118.19373,,2,80102S,
80105,80105,Anaheim Street Station,,33.78183,-118.189384,,0,80105S,Anaheim
80105S,80105S,Anaheim Street Station,,33.78183,-118.189384,,1,,
80105A,80105A,Anaheim Street Station - Long Beach & 12th Entrance,,33.78135,-118.18939,,2,80105S,
80105B,80105B,Anaheim Street Station - Long Beach & Anaheim Entrance,,33.78245,-118.18937,,2,80105S,
80106,80106,Pacific Coast Hwy Station,,33.78909,-118.189382,,0,80106S,PCH
80106S,80106S,Pacific Coast Hwy Station,,33.78909,-118.189382,,1,,
80106A,80106A,Pacific Coast Hwy Station - Long Beach & Pacific Coast Entrance,,33.78971,-118.18937,,2,80106S,
80107,80107,Willow Street Station,,33.807079,-118.189834,,0,80107S,Willow
80107S,80107S,Willow Street Station,,33.807079,-118.189834,,1,,
80107A,80107A,Willow Street Station - Long Beach & Willow Entrance,,33.8065,-118.18957,,2,80107S,
80108,80108,Wardlow Station,,33.819865,-118.19609,,0,80108S,Wardlow
80108S,80108S,Wardlow Station,,33.819865,-118.19609,,1,,
80108A,80108A,Wardlow Station - North Entrance,,33.82027,-118.19636,,2,80108S,
80108B,80108B,Wardlow Station - Pacific & Wardlow Entrance,,33.81918,-118.19563,,2,80108S,
80109,80109,Del Amo Station,,33.848222,-118.211017,,0,80109S,Del Amo
80109S,80109S,Del Amo Station,,33.848222,-118.211017,,1,,
