date,exception_type,service_id
20130322,2,57_SAT:L
20130323,2,57_SAT:L
20130323,2,57_SAT:S
20130323,1,57_SAT:R
20130324,2,57_SUN:L
20130324,2,57_SUN:S
20130324,1,57_SUN:R
20130325,2,57_SUN:L
20130325,2,57_WKD:G
20130325,2,57_WKD:S
20130325,2,57_WKD:S#6
20130325,1,57_WKD:R
20130326,2,57_SUN:L
20130326,2,57_WKD:G
20130326,2,57_WKD:S
20130326,2,57_WKD:S#6
20130326,1,57_WKD:R
20130327,2,57_SUN:L
20130327,2,57_WKD:G
20130327,2,57_WKD:S
20130327,2,57_WKD:S#6
20130327,1,57_WKD:R
20130328,2,57_SUN:L
20130328,2,57_WKD:G
20130328,2,57_WKD:S
20130328,2,57_WKD:S#6
20130328,1,57_WKD:R
20130329,2,57_SAT:L
20130329,2,57_WKD:G
20130329,2,57_WKD:S
20130329,2,57_WKD:S=6
20130329,1,57_WKD:R
20130330,2,57_SAT:L
20130330,2,57_SAT:S
20130330,1,57_SAT:R
20130518,2,57_SAT:L
20130518,2,57_SAT:S
20130518,1,57_SAT:R
20130519,2,57_SUN:L
20130519,2,57_SUN:S
20130519,1,57_SUN:R
20130520,2,57_SUN:L
20130520,2,57_WKD:G
20130520,2,57_WKD:S
20130520,2,57_WKD:S#6
20130520,1,57_WKD:R
20130521,2,57_SUN:L
20130521,2,57_WKD:G
20130521,2,57_WKD:S
20130521,2,57_WKD:S#6
20130521,1,57_WKD:R
20130522,2,57_SUN:L
20130522,2,57_WKD:G
20130522,2,57_WKD:S
20130522,2,57_WKD:S#6
20130522,1,57_WKD:R
20130523,2,57_SUN:L
20130523,2,57_WKD:G
20130523,2,57_WKD:S
20130523,2,57_WKD:S#6
20130523,1,57_WKD:R
20130524,2,57_SAT:L
20130524,2,57_WKD:G
20130524,2,57_WKD:S
20130524,2,57_WKD:S=6
20130524,1,57_WKD:R
20130525,2,57_SAT:S
20130525,2,57_SAT:L
20130525,1,57_SAT:R
20130527,2,58_WKD
20130527,2,58_WKD:R
20130527,1,58_HOL
20130704,2,58_WKD
20130704,2,58_WKD:R
20130704,1,58_HOL
