route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url
2-54,          0,2,"Franklin Av - Riverside Av - U of M - 8th St SE",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=2
2-55,          0,2,"Franklin Av - Riverside Av - U of M - 8th St SE",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=2
3-54,          0,3,"U of M - Como Av - Energy Park Dr - Maryland Av",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=3
3-55,          0,3,"U of M - Como Av - Energy Park Dr - Maryland Av",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=3
4-54,          0,4,"New Brighton - Johnson St - Bryant Av - Southtown",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=4
4-55,          0,4,"New Brighton - Johnson St - Bryant Av - Southtown",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=4
5-54,          0,5,"Brklyn Center - Fremont - 26th Av - Chicago - MOA",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=5
5-55,          0,5,"Brklyn Center - Fremont - 26th Av - Chicago - MOA",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=5
6-54,          0,6,"U of M - Hennepin - Xerxes - France - Southdale",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=6
6-55,          0,6,"U of M - Hennepin - Xerxes - France - Southdale",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=6
7-54,          0,7,"Plymouth - 27Av - Midtown - 46St LRT - 34Av S",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=7
7-55,          0,7,"Plymouth - 27Av - Midtown - 46St LRT - 34Av S",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=7
8-54,          0,8,"Franklin Av LRT - Franklin Av SE",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=8
8-55,          0,8,"Franklin Av LRT - Franklin Av SE",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=8
9-54,          0,9,"Glenwood Av - Wayzata Blvd - Cedar Lk Rd -46St LRT",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=9
9-55,          0,9,"Glenwood Av - Wayzata Blvd - Cedar Lk Rd -46St LRT",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=9
10-54,          0,10,"Central Av - University Av - Northtown",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=10
10-55,          0,10,"Central Av - University Av - Northtown",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=10
11-54,          0,11,"Columbia Heights - 2nd St NE - 4th Av S",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=11
11-55,          0,11,"Columbia Heights - 2nd St NE - 4th Av S",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=11
12-54,          0,12,"Uptown - Excelsior Blvd - Hopkins - Opus",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=12
12-55,          0,12,"Uptown - Excelsior Blvd - Hopkins - Opus",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=12
14-54,          0,14,"Robbinsdale-West Broadway-Bloomington Av Sep11 #2",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=14
14-55,          0,14,"Robbinsdale-West Broadway-Bloomington Av Sep11 #2",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=14
16-54,          0,16,"U of M - University Av - Midway",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=16
16-55,          0,16,"U of M - University Av - Midway",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=16
17-54,          0,17,"Minnetonka Blvd - Uptown - Washington St NE",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=17
17-55,          0,17,"Minnetonka Blvd - Uptown - Washington St NE",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=17
18-54,          0,18,"Nicollet Av - South Bloomington",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=18
18-55,          0,18,"Nicollet Av - South Bloomington",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=18
19-54,          0,19,"Olson Memorial Hwy - Penn Av N - Brooklyn Center",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=19
19-55,          0,19,"Olson Memorial Hwy - Penn Av N - Brooklyn Center",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=19
20-54,          0,20,"Northstar Rail-Downtown Shuttle",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=20
20-55,          0,20,"Northstar Rail-Downtown Shuttle",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=20
21-54,          0,21,"Uptown - Lake St - Selby  Av",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=21
21-55,          0,21,"Uptown - Lake St - Selby  Av",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=21
22-54,          0,22,"Brklyn Ctr - Lyndale Av N - Cedar - 28th Av S - VA",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=22
22-55,          0,22,"Brklyn Ctr - Lyndale Av N - Cedar - 28th Av S - VA",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=22
23-54,          0,23,"Uptown - 38th St - Highland Village",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=23
23-55,          0,23,"Uptown - 38th St - Highland Village",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=23
25-54,          0,25,"Northtown - Silver Lake - Stinson - Lake of Isles",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=25
25-55,          0,25,"Northtown - Silver Lake - Stinson - Lake of Isles",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=25
27-54,          0,27,"Lake St Station-26/28St",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=27
27-55,          0,27,"Lake St Station-26/28St",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=27
32-54,          2,32,"Robbinsdale - Lowry Av - Rosedale",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=32
32-55,          2,32,"Robbinsdale - Lowry Av - Rosedale",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=32
39-54,          0,39,"Wells Fargo - Abbott NW and Children's Hospitals",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=39
39-55,          0,39,"Wells Fargo - Abbott NW and Children's Hospitals",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=39
46-54,          0,46,"50St - 46St - 46St LRT- Highland Village",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=46
46-55,          0,46,"50St - 46St - 46St LRT- Highland Village",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=46
50-54,          0,50,"Ltd Stop - U of M - University Av - Midway",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=50
50-55,          0,50,"Ltd Stop - U of M - University Av - Midway",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=50
53-54,          0,53,"Ltd Stop - Uptown - Lake St - Marshall Av",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=53
53-55,          0,53,"Ltd Stop - Uptown - Lake St - Marshall Av",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=53
54-54,          0,54,"Ltd Stop - W 7St - Airport - MOA",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=54
54-55,          0,54,"Ltd Stop - W 7St - Airport - MOA",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=54
55-54,          0,55,"Hiawatha LRT - Mpls - Airport - MOA",,0,http://www.metrotransit.org/schedules/webschedules.aspx?route=55
55-55,          0,55,"Hiawatha LRT - Mpls - Airport - MOA",,0,http://www.metrotransit.org/schedules/webschedules.aspx?route=55
56-54,         10,56,"Light Rail Shuttle - Lindbergh - Humphrey",,0,http://www.metrotransit.org/schedules/webschedules.aspx?route=56
56-55,         10,56,"Light Rail Shuttle - Lindbergh - Humphrey",,0,http://www.metrotransit.org/schedules/webschedules.aspx?route=56
59-54,          0,59,"Ltd Stop - Blaine - Hwy 65 - Central - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=59
59-55,          0,59,"Ltd Stop - Blaine - Hwy 65 - Central - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=59
61-54,          0,61,"E Hennepin Av - Larpenteur Av - Arcade St",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=61
61-55,          0,61,"E Hennepin Av - Larpenteur Av - Arcade St",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=61
62-54,          1,62,"Rice St - Little Canada - Shoreview",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=62
