stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_street,stop_city,stop_region,stop_postcode,stop_country,zone_id,stop_url
1000,"50 St W & Upton Av S","Near side E",  44.912365, -93.315178,"50 St W",MINNEAPOLIS,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=1000
10000,"Carmen Av & Claude Way E #2","Across from S",  44.857449, -93.040977,"Carmen Av",INVER GROVE HEIGHTS,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10000
10001,"Carmen Av & 65 St E","Far side S",  44.855103, -93.042496,"Carmen Av",INVER GROVE HEIGHTS,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10001
10002,"Carmen Av & Village Square Ctr","Near side S",  44.853642, -93.042244,"Carmen Av",INVER GROVE HEIGHTS,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10002
10003,"Carmen Av & Lake Bridge Apts","Across from E",  44.853401, -93.041084,"Carmen Av",INVER GROVE HEIGHTS,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10003
10004,"67 St E & Catherine Av","Near side E",  44.851723, -93.036835,"67 St E",INVER GROVE HEIGHTS,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10004
10005,"67 St E & Clayton Av","Near side E",  44.851696, -93.034836,"67 St E",INVER GROVE HEIGHTS,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10005
10006,"Clayton Av & 68 St E","Near side S",  44.851303, -93.034798,"Clayton Av",INVER GROVE HEIGHTS,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10006
10007,"Clayton Av & 69 St E","Near side S",  44.849903, -93.034775,"Clayton Av",INVER GROVE HEIGHTS,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10007
10008,"Clayton Av & 70 St E","Near side S",  44.848213, -93.034737,"Clayton Av",INVER GROVE HEIGHTS,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10008
10013,"70 St E & Cloman Av E","Across from E",  44.847965, -93.032265,"70 St E",INVER GROVE HEIGHTS,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10013
10014,"70 St E & Cooper Av E","Near side E",  44.847946, -93.028717,"70 St E",INVER GROVE HEIGHTS,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10014
10016,"70 St E & Crosby Av E","Across from E",  44.847954, -93.025894,"70 St E",INVER GROVE HEIGHTS,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10016
10017,"70 St E & Dawn Av","Near side E",  44.847958, -93.024620,"70 St E",INVER GROVE HEIGHTS,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10017
1002,"50 St W & Sheridan Av S","Near side E",  44.912342, -93.312645,"50 St W",MINNEAPOLIS,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=1002
10024,"75 St E & Craig Av E","Near side W",  44.840836, -93.027130,"75 St E",INVER GROVE HEIGHTS,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10024
10026,"75 St E & Cloman Way","Near side W",  44.840813, -93.032272,"75 St E",INVER GROVE HEIGHTS,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10026
10028,"75 St E & Clayton Av","Near side W",  44.840824, -93.034485,"75 St E",INVER GROVE HEIGHTS,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10028
10029,"Clayton Av & 76 St E","Near side S",  44.839954, -93.034691,"Clayton Av",INVER GROVE HEIGHTS,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10029
10030,"Clayton Av & 77 St E","Across from S",  44.838017, -93.034637,"Clayton Av",INVER GROVE HEIGHTS,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10030
10031,"Clayton Av & 78 St E","Near side S",  44.837265, -93.034660,"Clayton Av",INVER GROVE HEIGHTS,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10031
10032,"78 St E & Charles Way","Across from W",  44.837231, -93.036423,"78 St E",INVER GROVE HEIGHTS,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10032
10034,"78 St E & Rolling Meadows Apts","Near side W",  44.837215, -93.037811,"78 St E",INVER GROVE HEIGHTS,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10034
10035,"78 St E & Chandler / Cahill","Mid block W",  44.836536, -93.040230,"78 St E",INVER GROVE HEIGHTS,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10035
10036,"78 St E & Cahill Av","Near side W",  44.836380, -93.042175,"78 St E",INVER GROVE HEIGHTS,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10036
10037,"Fillmore Av E & Robert St","Far side E",  44.941360, -93.084770,"Fillmore Av E",SAINT PAUL,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10037
10039,"Fillmore Av E & State St","Near side E",  44.943260, -93.080284,"Fillmore Av E",SAINT PAUL,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10039
1004,"50 St W & Queen Av S","Near side E",  44.912319, -93.310097,"50 St W",MINNEAPOLIS,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=1004
10040,"Fillmore Av E & Lafayette Rd W","Near side E",  44.943615, -93.078377,"Fillmore Av E",SAINT PAUL,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10040
10041,"Fillmore Av E & Lafayette Rd E","Near side E",  44.943825, -93.077141,"Fillmore Av E",SAINT PAUL,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10041
