stop_id,stop_name,stop_lat,stop_lon,route_short_name,route_id,route_color,route_text_color,stop_sequence
101S,Van Cortlandt Park-242 St,40.889248,-73.898583,1,1,EE352E,,1
103S,238 St,40.884667,-73.90087,1,1,EE352E,,2
104S,231 St,40.878856,-73.904834,1,1,EE352E,,3
106S,Marble Hill-225 St,40.874561,-73.909831,1,1,EE352E,,4
107S,215 St,40.869444,-73.915279,1,1,EE352E,,5
108S,207 St,40.864621,-73.918822,1,1,EE352E,,6
109S,Dyckman St,40.860531,-73.925536,1,1,EE352E,,7
110S,191 St,40.855225,-73.929412,1,1,EE352E,,8
111S,181 St,40.849505,-73.933596,1,1,EE352E,,9
112S,168 St-Washington Hts,40.840556,-73.940133,1,1,EE352E,,10
113S,157 St,40.834041,-73.94489,1,1,EE352E,,11
114S,145 St,40.826551,-73.95036,1,1,EE352E,,12
115S,137 St-City College,40.822008,-73.953676,1,1,EE352E,,13
116S,125 St,40.815581,-73.958372,1,1,EE352E,,14
117S,116 St-Columbia University,40.807722,-73.96411,1,1,EE352E,,15
118S,Cathedral Pkwy (110 St),40.803967,-73.966847,1,1,EE352E,,16
119S,103 St,40.799446,-73.968379,1,1,EE352E,,17
120S,96 St,40.793919,-73.972323,1,1,EE352E,,18
121S,86 St,40.788644,-73.976218,1,1,EE352E,,19
122S,79 St,40.783934,-73.979917,1,1,EE352E,,20
123S,72 St,40.778453,-73.98197,1,1,EE352E,,21
124S,66 St-Lincoln Center,40.77344,-73.982209,1,1,EE352E,,22
125S,59 St-Columbus Circle,40.768247,-73.981929,1,1,EE352E,,23
126S,50 St,40.761728,-73.983849,1,1,EE352E,,24
127S,Times Sq-42 St,40.75529,-73.987495,1,1,EE352E,,25
128S,34 St-Penn Station,40.750373,-73.991057,1,1,EE352E,,26
129S,28 St,40.747215,-73.993365,1,1,EE352E,,27
130S,23 St,40.744081,-73.995657,1,1,EE352E,,28
131S,18 St,40.74104,-73.997871,1,1,EE352E,,29
132S,14 St,40.737826,-74.000201,1,1,EE352E,,30
133S,Christopher St-Sheridan Sq,40.733422,-74.002906,1,1,EE352E,,31
134S,Houston St,40.728251,-74.005367,1,1,EE352E,,32
135S,Canal St,40.722854,-74.006277,1,1,EE352E,,33
136S,Franklin St,40.719318,-74.006886,1,1,EE352E,,34
137S,Chambers St,40.715478,-74.009266,1,1,EE352E,,35
138S,WTC Cortlandt,40.711835,-74.012188,1,1,EE352E,,36
139S,Rector St,40.707513,-74.013783,1,1,EE352E,,37
142S,South Ferry,40.702068,-74.013664,1,1,EE352E,,38
201S,Wakefield-241 St,40.903125,-73.85062,2,2,EE352E, ,1
204S,Nereid Av,40.898379,-73.854376,2,2,EE352E, ,2
205S,233 St,40.893193,-73.857473,2,2,EE352E, ,3
206S,225 St,40.888022,-73.860341,2,2,EE352E, ,4
207S,219 St,40.883895,-73.862633,2,2,EE352E, ,5
208S,Gun Hill Rd,40.87785,-73.866256,2,2,EE352E, ,6
209S,Burke Av,40.871356,-73.867164,2,2,EE352E, ,7
210S,Allerton Av,40.865462,-73.867352,2,2,EE352E, ,8
211S,Pelham Pkwy,40.857192,-73.867615,2,2,EE352E, ,9
212S,Bronx Park East,40.848828,-73.868457,2,2,EE352E, ,10
213S,E 180 St,40.841894,-73.873488,2,2,EE352E, ,11
214S,West Farms Sq-E Tremont Av,40.840295,-73.880049,2,2,EE352E, ,12
215S,174 St,40.837288,-73.887734,2,2,EE352E, ,13
216S,Freeman St,40.829993,-73.891865,2,2,EE352E, ,14
217S,Simpson St,40.824073,-73.893064,2,2,EE352E, ,15
218S,Intervale Av,40.822181,-73.896736,2,2,EE352E, ,16
219S,Prospect Av,40.819585,-73.90177,2,2,EE352E, ,17
220S,Jackson Av,40.81649,-73.907807,2,2,EE352E, ,18
221S,3 Av-149 St,40.816109,-73.917757,2,2,EE352E, ,19
