stop_id,stop_name,stop_lat,stop_lon,route_short_name,route_id,route_color,route_text_color,stop_sequence
16,Sagrado Corazí_n,18.437642,-66.05968,Ruta del Tren Urbano,RUTA_TREN,F00,white,16
15,Hato Rey,18.430277,-66.059985,Ruta del Tren Urbano,RUTA_TREN,F00,white,15
14,Roosevelt,18.424528,-66.058779,Ruta del Tren Urbano,RUTA_TREN,F00,white,14
13,Dí_menech,18.416346,-66.056338,Ruta del Tren Urbano,RUTA_TREN,F00,white,13
12,Pií±ero,18.411693,-66.055225,Ruta del Tren Urbano,RUTA_TREN,F00,white,12
11,Universidad,18.406024,-66.05193,Ruta del Tren Urbano,RUTA_TREN,F00,white,11
10,Rí_o Piedras,18.400251,-66.052413,Ruta del Tren Urbano,RUTA_TREN,F00,white,10
9,Cupey,18.383847,-66.058769,Ruta del Tren Urbano,RUTA_TREN,F00,white,9
8,Centro Mídico,18.393167,-66.075734,Ruta del Tren Urbano,RUTA_TREN,F00,white,8
7,San Francisco,18.392307,-66.084036,Ruta del Tren Urbano,RUTA_TREN,F00,white,7
6,Las Lomas,18.392398,-66.095176,Ruta del Tren Urbano,RUTA_TREN,F00,white,6
5,Martí_nez Nadal,18.392811,-66.102911,Ruta del Tren Urbano,RUTA_TREN,F00,white,5
4,Torrimar,18.393597,-66.120175,Ruta del Tren Urbano,RUTA_TREN,F00,white,4
3,Jardines,18.395734,-66.128919,Ruta del Tren Urbano,RUTA_TREN,F00,white,3
2,Deportivo,18.395922,-66.151249,Ruta del Tren Urbano,RUTA_TREN,F00,white,2
1,Bayamí_n,18.40095,-66.153815,Ruta del Tren Urbano,RUTA_TREN,F00,white,1
