service_id,date,exception_type,exception_note,schedule_type
76360-1111111-0,20220207,1,Old Town to Airport Shuttle,ERRdow
72987-1111100-0,20220207,1,Coronado Ferry - M-F with Events,WD
7298753-1111100-53,20220207,1,Coronado Ferry - M-F with Events Coronado Ferry Commuter,WD
76278-1111100-0,20220207,1,FINAL,WD
76276-1111100-0,20220207,1,FINAL,WD
76279-1111100-0,20220207,1,FINAL,WD
76280-1111100-0,20220207,1,FINAL,WD
7628019-1111100-19,20220207,1,FINAL Southwestern College,WD
7628029-1111100-29,20220207,1,FINAL San Ysidro High School,WD
7628051-1111100-51,20220207,1,FINAL San Ysidro HIgh School,WD
76277-1111100-0,20220207,1,FINAL,WD
76183-1111100-0,20220207,1,FINAL,WD
761837-1111100-7,20220207,1,FINAL Rural 888,WD
76344-1111100-0,20220207,1,PRODUCTION,WD
7634421-1111100-21,20220207,1,PRODUCTION UCSD,WD
76364-1111100-0,20220207,1,Schedule #119,WD
76360-1111111-0,20220208,1,Old Town to Airport Shuttle,ERRdow
72987-1111100-0,20220208,1,Coronado Ferry - M-F with Events,WD
7298753-1111100-53,20220208,1,Coronado Ferry - M-F with Events Coronado Ferry Commuter,WD
76278-1111100-0,20220208,1,FINAL,WD
76276-1111100-0,20220208,1,FINAL,WD
76279-1111100-0,20220208,1,FINAL,WD
76280-1111100-0,20220208,1,FINAL,WD
7628019-1111100-19,20220208,1,FINAL Southwestern College,WD
7628029-1111100-29,20220208,1,FINAL San Ysidro High School,WD
7628051-1111100-51,20220208,1,FINAL San Ysidro HIgh School,WD
76277-1111100-0,20220208,1,FINAL,WD
76183-1111100-0,20220208,1,FINAL,WD
76344-1111100-0,20220208,1,PRODUCTION,WD
7634421-1111100-21,20220208,1,PRODUCTION UCSD,WD
76364-1111100-0,20220208,1,Schedule #119,WD
76360-1111111-0,20220209,1,Old Town to Airport Shuttle,ERRdow
72987-1111100-0,20220209,1,Coronado Ferry - M-F with Events,WD
7298753-1111100-53,20220209,1,Coronado Ferry - M-F with Events Coronado Ferry Commuter,WD
76278-1111100-0,20220209,1,FINAL,WD
76276-1111100-0,20220209,1,FINAL,WD
76279-1111100-0,20220209,1,FINAL,WD
76280-1111100-0,20220209,1,FINAL,WD
7628019-1111100-19,20220209,1,FINAL Southwestern College,WD
7628029-1111100-29,20220209,1,FINAL San Ysidro High School,WD
7628051-1111100-51,20220209,1,FINAL San Ysidro HIgh School,WD
76277-1111100-0,20220209,1,FINAL,WD
76183-1111100-0,20220209,1,FINAL,WD
76344-1111100-0,20220209,1,PRODUCTION,WD
7634421-1111100-21,20220209,1,PRODUCTION UCSD,WD
76364-1111100-0,20220209,1,Schedule #119,WD
76360-1111111-0,20220210,1,Old Town to Airport Shuttle,ERRdow
72987-1111100-0,20220210,1,Coronado Ferry - M-F with Events,WD
7298753-1111100-53,20220210,1,Coronado Ferry - M-F with Events Coronado Ferry Commuter,WD
76278-1111100-0,20220210,1,FINAL,WD
76276-1111100-0,20220210,1,FINAL,WD
76279-1111100-0,20220210,1,FINAL,WD
76280-1111100-0,20220210,1,FINAL,WD
7628019-1111100-19,20220210,1,FINAL Southwestern College,WD
7628029-1111100-29,20220210,1,FINAL San Ysidro High School,WD
7628051-1111100-51,20220210,1,FINAL San Ysidro HIgh School,WD
