stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,wheelchair_boarding,intersection_code,stop_place,reference_place,stop_name_short,stop_url
10001,Cabrillo National Monument,32.674457926534,-117.240425731733,10001,0,,1,M-Special_Loc,cabmon,,Cabrillo Natl Monument,https://www.sdmts.com/schedules-real-time?fragment=10001
10003,Pearl St & Draper Av,32.839578288269,-117.276186771308,10003,0,,1,N-E/B,,,Pearl&Draper,https://www.sdmts.com/schedules-real-time?fragment=10003
10004,Pearl St & Fay Av,32.840128483519,-117.273809897096,10004,0,,1,N-E/B,,,Pearl&Fay,https://www.sdmts.com/schedules-real-time?fragment=10004
10006,Torrey Pines Rd & Exchange Pl,32.845846698952,-117.268673216555,10006,0,,1,N-N/B,,,Try Pines&Exchange,https://www.sdmts.com/schedules-real-time?fragment=10006
10007,Torrey Pines Rd & Princess St,32.848825603037,-117.262585430693,10007,0,,0,N-E/B,,,Try Pines&Princess,https://www.sdmts.com/schedules-real-time?fragment=10007
10011,Garnet Av & Everts St,32.798100926571,-117.248250130092,10011,0,,1,N-E/B,,,Garnet&Everts,https://www.sdmts.com/schedules-real-time?fragment=10011
10012,Grand Av & Fanuel St,32.796529037801,-117.245833937188,10012,0,,1,N-E/B,,,Grand&Fanuel,https://www.sdmts.com/schedules-real-time?fragment=10012
10013,Garnet Av & Haines St,32.799293979270,-117.242773582471,10013,0,,1,N-E/B,,,Garnet&Haines,https://www.sdmts.com/schedules-real-time?fragment=10013
10015,Garnet Av & Ingraham St,32.799650170994,-117.241202491565,10015,0,,1,N-E/B,inggar,,Garnet&Ingraham,https://www.sdmts.com/schedules-real-time?fragment=10015
10016,Garnet Av & Jewell St,32.800123586311,-117.239063190962,10016,0,,1,N-E/B,,,Garnet&Jewell,https://www.sdmts.com/schedules-real-time?fragment=10016
10020,Voltaire St & Mendocino St,32.745066706695,-117.235748986364,10020,0,,1,N-E/B,,,Voltaire&Mendocino,https://www.sdmts.com/schedules-real-time?fragment=10020
10023,Garnet Av & Lamont St,32.800877163590,-117.235566670156,10023,0,,1,N-E/B,garlam,,Garnet&Lamont,https://www.sdmts.com/schedules-real-time?fragment=10023
10024,Voltaire St & San Clemente St,32.742869053540,-117.233535634227,10024,0,,1,N-E/B,,,Voltaire&San Clemente,https://www.sdmts.com/schedules-real-time?fragment=10024
