route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
10794,SunTran,1,Glenn/Swan,,3,http://suntran.com/pdf/routes/FEB_14_rt_1.pdf,FFD457,000000
10795,SunTran,10,Flowing Wells,,3,http://suntran.com/pdf/routes/FEB_14_rt_10.pdf,00703C,FFFFFF
10796,SunTran,101X,Golf Links-Downtown Express,,3,http://suntran.com/pdf/routes/FEB_14_rt_101X.pdf,003B7B,FFFFFF
10797,SunTran,102X,Northwest-UA Express,,3,http://suntran.com/pdf/routes/FEB_14_rt_102X.pdf,C5913A,FFFFFF
10798,SunTran,103X,Northwest-Downtown Express,,3,http://suntran.com/pdf/routes/FEB_14_rt_103X.pdf,957CA0,FFFFFF
10799,SunTran,104X,Marana-Downtown Express,,3,http://suntran.com/pdf/routes/FEB_14_rt_104X.pdf,451F03,FFFFFF
10800,SunTran,105X,Foothills-Downtown Express,,3,http://suntran.com/pdf/routes/FEB_14_rt_105X.pdf,E00085,FFFFFF
10801,SunTran,107X,Oro Valley-Downtown Express,,3,http://suntran.com/pdf/routes/FEB_14_rt_107X.pdf,5B57A6,FFFFFF
10802,SunTran,108X,Broadway-Downtown Express,,3,http://suntran.com/pdf/routes/FEB_14_rt_108X.pdf,DA9B3C,FFFFFF
10803,SunTran,109X,Catalina Hwy-Downtown Express,,3,http://suntran.com/pdf/routes/FEB_14_rt_109X.pdf,4D4A8D,FFFFFF
10804,SunTran,11,Alvernon,,3,http://suntran.com/pdf/routes/FEB_14_rt_11.pdf,7C5C36,FFFFFF
10805,SunTran,110X,Rita Ranch-Downtown Express,,3,http://suntran.com/pdf/routes/FEB_14_rt_110X.pdf,00B1EB,FFFFFF
10806,SunTran,15,Campbell,,3,http://suntran.com/pdf/routes/FEB_14_rt_15.pdf,00569C,FFFFFF
10807,SunTran,16,"12th Ave,/Oracle",,3,http://suntran.com/pdf/routes/FEB_14_rt_16.pdf,00A3B4,FFFFFF
10808,SunTran,17,Country Club/29th St.,,3,http://suntran.com/pdf/routes/FEB_14_rt_17.pdf,52BCC6,FFFFFF
10809,SunTran,19,Stone,,3,http://suntran.com/pdf/routes/FEB_14_rt_19.pdf,00C200,FFFFFF
10810,SunTran,2,Pueblo Gardens,,3,http://suntran.com/pdf/routes/FEB_14_rt_2.pdf,C4A4A5,FFFFFF
10811,SunTran,20,W. Grant,,3,http://suntran.com/pdf/routes/FEB_14_rt_20.pdf,994F99,FFFFFF
10812,SunTran,201X,Eastside-Aero Park Express,,3,http://suntran.com/pdf/routes/FEB_14_rt_201X.pdf,BE5F5C,FFFFFF
