stop_lat,route_color,stop_lon,route_text_color,route_id,fips,stop_sequence,stop_id,route_short_name,stop_name,B19013_001E
32.222356,FFD457,-110.968029,000000,10794,040190001001001,1,16137,1,Downtown Ronstadt Center,23125
32.221165,FFD457,-110.965693,000000,10794,040190001001010,2,10861,1,Broadway/4th Av,23125
32.221759,FFD457,-110.959343,000000,10794,040190008002023,3,13604,1,Euclid/Broadway,34698
32.224077,FFD457,-110.959362,000000,10794,040190005007013,4,13079,1,Euclid/9th St,
32.228305,FFD457,-110.959311,000000,10794,040190005007001,5,60,1,Euclid/6th St,
32.23195,FFD457,-110.959389,000000,10794,040190005006030,6,13080,1,Euclid/University,
32.234487,FFD457,-110.959325,000000,10794,040190005006012,7,13081,1,Euclid/1st St,
32.236753,FFD457,-110.956685,000000,10794,040190005006006,8,3,1,Park/Speedway,
32.239801,FFD457,-110.956756,000000,10794,040190015001022,9,11263,1,Park/Drachman,12857
32.242663,FFD457,-110.956776,000000,10794,040190015001016,10,11264,1,Park/Elm,12857
32.24599,FFD457,-110.956747,000000,10794,040190015003040,11,11265,1,Park/Waverly,12857
32.250103,FFD457,-110.956828,000000,10794,040190015003011,12,11266,1,Park/Grant,12857
32.254179,FFD457,-110.956744,000000,10794,040190015002021,13,11267,1,Park/Copper,12857
32.257371,FFD457,-110.956711,000000,10794,040190015002004,14,11268,1,Park/Glenn,12857
32.257473,FFD457,-110.952688,000000,10794,040190015002003,15,11269,1,Glenn/Mountain,12857
32.257476,FFD457,-110.952048,000000,10794,040190015002002,16,16169,1,Glenn/Mountain,12857
32.257464,FFD457,-110.948399,000000,10794,040190015002002,17,15296,1,Glenn/Cherry,12857
32.257523,FFD457,-110.947933,000000,10794,040190015002001,18,11270,1,Glenn/Cherry,12857
32.257543,FFD457,-110.943543,000000,10794,040190016005002,19,4,1,Glenn/Campbell,40900
32.257558,FFD457,-110.939325,000000,10794,040190016005001,20,11272,1,Glenn/Plumer,40900
32.257579,FFD457,-110.934995,000000,10794,040190017003007,21,11273,1,Glenn/Tucson,51389
32.257629,FFD457,-110.930781,000000,10794,040190028031003,22,11274,1,Glenn/Treat,28452
32.25766,FFD457,-110.926535,000000,10794,040190028031002,23,11275,1,Glenn/Country Club,28452
32.257685,FFD457,-110.922778,000000,10794,040190028031002,24,11276,1,Glenn/Edith,28452
32.257748,FFD457,-110.917959,000000,10794,040190028032005,25,11277,1,Glenn/Palo Verde,28452
32.25778,FFD457,-110.913862,000000,10794,040190028032003,26,11278,1,Glenn/Dodge,28452
32.257785,FFD457,-110.909233,000000,10794,040190029015006,27,5,1,Glenn/Alvernon,29872
32.257799,FFD457,-110.905648,000000,10794,040190029015003,28,14963,1,Glenn/C de Romy,29872
32.257764,FFD457,-110.900688,000000,10794,040190029011003,29,12805,1,Glenn/Columbus,29872
32.257836,FFD457,-110.895586,000000,10794,040190029011000,30,12806,1,Glenn/Desert Av,29872
32.257417,FFD457,-110.892703,000000,10794,040190029011000,31,11518,1,Swan/Glenn,29872
32.25363,FFD457,-110.892722,000000,10794,040190029011004,32,12757,1,Swan/San Carlos,29872
32.250312,FFD457,-110.892823,000000,10794,040190029011021,33,248,1,Swan/Grant,29872
32.246749,FFD457,-110.892809,000000,10794,040190029012000,34,12758,1,Swan/Seneca,29872
32.24308,FFD457,-110.892796,000000,10794,040190031011000,35,12760,1,Swan/Pima,27070
32.240038,FFD457,-110.892739,000000,10794,040190031011006,36,15011,1,Swan/Fairmount,27070
32.237749,FFD457,-110.892768,000000,10794,040190031011011,37,12762,1,Swan/Bellevue,27070
32.235812,FFD457,-110.892769,000000,10794,040190031014000,38,249,1,Swan/Speedway,27070
32.232214,FFD457,-110.892694,000000,10794,040190032002004,39,12763,1,Swan/3rd St,38661
32.228587,FFD457,-110.892498,000000,10794,040190032002009,40,12765,1,Swan/5th St,38661
32.224634,FFD457,-110.892518,000000,10794,040190032002013,41,12766,1,Swan/Burns,38661
32.221027,FFD457,-110.892504,000000,10794,040190034005019,42,12767,1,Swan/Broadway,66413
32.217347,FFD457,-110.892481,000000,10794,040190034003012,43,12768,1,Swan/14th St,66413
32.213351,FFD457,-110.892393,000000,10794,040190034002005,44,15000,1,Swan/17th St,66413
32.21013,FFD457,-110.892416,000000,10794,040190035011006,45,15001,1,Swan/19th St,16458
32.205761,FFD457,-110.892452,000000,10794,040190035016000,46,252,1,Swan/22nd St,16458
32.201854,FFD457,-110.892521,000000,10794,040190035016007,47,12773,1,Swan/27th St,16458
32.199817,FFD457,-110.892759,000000,10794,040190035016011,48,11827,1,29th St/Swan,16458
32.199852,FFD457,-110.896555,000000,10794,040190035016011,49,11828,1,29th St/Belvedere,16458
32.199844,FFD457,-110.900721,000000,10794,040190035016010,50,11829,1,29th St/Columbus,16458
32.199861,FFD457,-110.905239,000000,10794,040190035012014,51,140,1,29th St/Irving,16458
32.198203,FFD457,-110.910646,000000,10794,040190020002007,52,11019,1,Winstel/March Pl,32431
32.196088,FFD457,-110.910625,000000,10794,040190020002012,53,11020,1,34th St/33rd St,32431
32.19418,FFD457,-110.913413,000000,10794,040190020002012,54,11022,1,34th St/34th Pl,32431
32.194182,FFD457,-110.918488,000000,10794,040190020002014,55,11024,1,34th St/Layton,32431
32.199908,FFD457,-110.92661,000000,10794,040190020005009,56,11250,1,Country Club/Silverlake,32431
32.203006,FFD457,-110.926589,000000,10794,040190020004005,57,11251,1,Country Club/27th St,32431
32.205914,FFD457,-110.926675,000000,10794,040190020007003,58,11252,1,Country Club/23rd St,32431
32.207905,FFD457,-110.92652,000000,10794,040190019002045,59,143,1,Country Club/22nd St,40919
32.222581,00703C,-110.968193,FFFFFF,10795,040190001001001,1,14205,10,Downtown Ronstadt Center,23125
32.225663,00703C,-110.970401,FFFFFF,10795,040190004003046,2,14761,10,Toole/7th Av,31328
32.231838,00703C,-110.9717,FFFFFF,10795,040190004003003,3,12140,10,Stone/University,31328
32.236076,00703C,-110.972246,FFFFFF,10795,040190004002008,4,12570,10,Speedway/Stone,31328
32.236041,00703C,-110.975083,FFFFFF,10795,040190003001000,5,12571,10,Speedway/10th Av,16111
32.236311,00703C,-110.9778,FFFFFF,10795,040190003001004,6,11407,10,Main/Speedway,16111
32.238645,00703C,-110.977895,FFFFFF,10795,040190013022036,7,11408,10,Main/Mabel,12216
32.241337,00703C,-110.977852,FFFFFF,10795,040190013022031,8,11409,10,Oracle/Lee,12216
32.244723,00703C,-110.977818,FFFFFF,10795,040190013022022,9,14843,10,Oracle/Plata,12216
32.248348,00703C,-110.977862,FFFFFF,10795,040190013021012,10,16156,10,Oracle/Rillito,12216
32.25147,00703C,-110.977858,FFFFFF,10795,040190013044008,11,157,10,Oracle/Grant,28452
32.254188,00703C,-110.977948,FFFFFF,10795,040190013044002,12,11413,10,Oracle/Jacinto,28452
32.257916,00703C,-110.977924,FFFFFF,10795,040190013041003,13,11414,10,Oracle/Glenn,28452
32.261103,00703C,-110.980108,FFFFFF,10795,040190026042002,14,11415,10,Miracle Mile/Cemetery,22018
32.261096,00703C,-110.983847,FFFFFF,10795,040190026042002,15,14899,10,Miracle Mile/800 Block,22018
32.261126,00703C,-110.987144,FFFFFF,10795,040190045053026,16,11417,10,Miracle Mile/Fairview,33438
32.261235,00703C,-110.991207,FFFFFF,10795,040190045053026,17,11418,10,Miracle Mile/El Burrito,33438
32.261347,00703C,-110.994559,FFFFFF,10795,040190045053026,18,11419,10,Miracle Mile/Flowing Wells,33438
32.264068,00703C,-110.994859,FFFFFF,10795,040190045053026,19,14560,10,Flowing Wells/Delano,33438
32.267908,00703C,-110.994869,FFFFFF,10795,040190045053021,20,16146,10,Flowing Wells/Mohave,33438
32.272344,00703C,-110.994957,FFFFFF,10795,040190045051016,21,11375,10,Flowing Wells/Prince,33438
32.275946,00703C,-110.994857,FFFFFF,10795,040190045052003,22,11427,10,Flowing Wells/Pastime,33438
32.279126,00703C,-110.994881,FFFFFF,10795,040190045052000,23,14563,10,Flowing Wells/Roger,33438
32.28415,00703C,-110.994933,FFFFFF,10795,040190045083005,24,14565,10,Flowing Wells/Talisman,31107
32.287394,00703C,-110.995006,FFFFFF,10795,040190045082004,25,14874,10,Flowing Wells/Schafer,31107
32.291019,00703C,-110.994941,FFFFFF,10795,040190045082006,26,14567,10,Flowing Wells/Wabash,31107
32.295739,00703C,-110.995064,FFFFFF,10795,040190046181008,27,14568,10,La Canada/Edgewater,76250
32.297305,00703C,-110.9947,FFFFFF,10795,040190046181007,28,14483,10,River/La Canada,76250
